C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16may17.b\16may17_a13.d
Intensity Vs Time,CPS
Acquired      : 17/05/2016 11:44:02 using Batch PAM_FI_16may17.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
0.3617,0.00,0.00,7301.76,0.00,6201.27,101138.55,2900.28,10803.89,600.01,0.00,1800.11,0.00,0.00,0.00,0.00,3650.46,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6588,0.00,0.00,7802.01,0.00,5801.12,104511.47,3550.42,10603.75,1600.09,0.00,2600.23,200.00,0.00,0.00,0.00,2450.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9558,0.00,0.00,8002.11,0.00,2600.22,101893.62,2550.22,9202.83,2600.23,0.00,2400.19,400.01,0.00,0.00,0.00,3000.31,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
1.2528,0.00,0.00,9102.73,0.00,4800.76,100534.53,3250.35,12004.81,3800.48,0.00,1800.11,400.01,0.00,0.00,200.00,3100.33,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5498,0.00,0.00,6101.23,0.00,3000.30,95049.07,2950.29,9402.95,2200.16,0.00,3400.39,0.00,0.00,0.00,400.01,3300.37,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
1.8469,0.00,0.00,7601.91,0.00,5400.97,103252.83,3350.37,14406.92,2400.19,0.00,4400.65,200.00,0.00,0.00,0.00,3500.42,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
2.1439,0.00,0.00,5300.93,0.00,5200.90,105870.92,4250.60,11404.34,2000.13,0.00,2200.16,0.00,0.00,0.00,0.00,3200.35,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
2.4409,0.00,0.00,7501.86,0.00,5400.97,101239.23,3600.43,12405.13,1600.09,0.00,2800.26,0.00,0.00,0.00,0.00,3700.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.7379,0.00,0.00,6201.27,0.00,3800.48,97615.41,4050.55,10203.47,1200.05,0.00,3400.39,0.00,0.00,0.00,0.00,3900.52,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
3.0350,0.00,0.00,6301.31,0.00,5400.97,93036.56,4000.53,11204.19,1400.07,0.00,2200.16,200.00,0.00,0.00,0.00,3100.33,0.00,0.00,100.00,400.01,0.00,0.00,0.00,0.00,0.00
3.3320,0.00,0.00,9002.67,0.00,4800.76,101843.28,3250.35,13005.64,2000.13,0.00,1800.11,200.00,0.00,0.00,0.00,2550.22,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.6290,0.00,0.00,7001.62,0.00,5601.04,98772.92,3000.30,11204.19,2000.13,0.00,2000.14,400.01,0.00,0.00,0.00,2900.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
3.9260,0.00,0.00,6401.35,0.00,3800.48,101893.62,4100.56,12805.47,2200.16,0.00,400.01,200.00,0.00,0.00,200.00,3150.34,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
4.2231,0.00,0.00,7802.01,0.00,4000.53,95300.65,3950.52,13806.36,2400.19,0.00,1800.11,600.01,0.00,0.00,0.00,2450.21,0.00,0.00,50.00,400.01,0.00,0.00,0.00,16.67,0.00
4.5201,0.00,0.00,7601.91,0.00,4800.76,98370.30,2950.29,11404.34,1600.09,0.00,2200.16,0.00,0.00,0.00,0.00,3400.40,0.00,0.00,0.00,0.00,200.00,0.00,0.00,16.67,0.00
4.8171,0.00,0.00,7301.76,0.00,5801.12,97414.12,3300.36,15608.13,2600.23,0.00,2800.26,0.00,0.00,0.00,0.00,3000.31,0.00,0.00,50.00,400.01,0.00,0.00,0.00,0.00,0.00
5.1141,200.00,0.00,6901.57,0.00,5000.83,97162.49,3350.37,11004.04,1600.09,0.00,1800.11,600.01,0.00,0.00,0.00,2800.27,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
5.4112,0.00,0.00,7401.81,0.00,3600.43,98571.61,3150.33,12805.47,2200.16,0.00,3000.30,0.00,0.00,0.00,0.00,2850.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.7082,0.00,0.00,6601.44,0.00,5801.12,95401.29,2900.28,10403.61,1800.11,0.00,2400.19,0.00,0.00,0.00,0.00,2750.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.0052,0.00,0.00,8602.44,0.00,3400.38,94394.98,3350.37,11204.19,2800.26,0.00,2000.14,800.02,0.00,0.00,200.00,2400.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.3022,0.00,0.00,6001.19,0.00,5601.04,100987.55,2900.28,12004.81,1800.11,0.00,2400.19,400.01,0.00,0.00,0.00,2400.20,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
6.5993,0.00,0.00,6601.44,0.00,6001.19,100484.19,3550.42,9202.83,1800.11,0.00,2400.19,200.00,0.00,0.00,200.00,2950.30,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
6.8963,0.00,0.00,8202.22,0.00,4400.64,101088.21,3750.47,12805.47,3200.34,0.00,3400.39,0.00,0.00,0.00,0.00,2650.24,200.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
7.1933,0.00,0.00,6901.57,0.00,3600.43,98370.30,3200.34,10403.61,2400.19,0.00,4000.54,0.00,0.00,0.00,200.00,3250.36,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
7.4903,0.00,0.00,6301.31,0.00,6401.36,101490.91,3450.40,10803.89,2000.13,0.00,1800.11,200.00,0.00,0.00,200.00,3050.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
7.7874,0.00,0.00,6901.57,0.00,4600.70,105719.86,4200.59,12405.13,2000.13,0.00,2600.23,200.00,0.00,0.00,200.00,2800.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.0844,0.00,0.00,8002.11,0.00,5400.97,100786.20,3200.34,9803.21,2600.23,0.00,2200.16,600.01,0.00,0.00,0.00,2750.26,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
8.3814,0.00,0.00,8102.17,0.00,4800.76,101037.88,3150.33,10603.75,2000.13,0.00,3000.30,0.00,0.00,0.00,0.00,3350.39,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
8.6784,0.00,0.00,8102.17,0.00,5000.83,106173.03,3750.47,10203.47,2600.23,0.00,3400.39,0.00,0.00,0.00,0.00,3050.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.9755,0.00,0.00,5801.11,0.00,4400.64,97061.85,3900.51,12605.30,1200.05,0.00,3200.35,0.00,0.00,0.00,200.00,2650.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.2725,200.00,400.01,7501.86,0.00,6001.19,104410.78,3550.42,9603.08,2200.16,0.00,4000.54,0.00,0.00,0.00,0.00,2850.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.5695,0.00,0.00,6001.19,0.00,6601.44,97665.73,3650.44,10803.89,1400.07,0.00,1600.09,0.00,0.00,0.00,0.00,2700.25,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
9.8665,0.00,0.00,7001.62,0.00,6601.44,96005.11,4350.63,11204.19,1600.09,0.00,3800.49,200.00,0.00,0.00,0.00,3000.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.1636,0.00,0.00,7902.06,0.00,5601.04,103303.17,3600.43,10003.34,2000.13,0.00,2200.16,0.00,0.00,0.00,200.00,3650.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.4606,0.00,0.00,8002.11,0.00,3800.48,99477.54,4200.59,11204.19,3800.48,0.00,1600.09,0.00,0.00,0.00,0.00,2450.21,0.00,0.00,50.00,0.00,400.01,0.00,0.00,0.00,0.00
