D:\0 ICPMS Data\User Data\M Beeskow\21_08_24_Qtz.b\21_08_24_a26.d
Intensity Vs Time,CPS
Acquired      : 24/08/2021 12:34:13 using Batch 21_08_24_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3446,200.00,0.00,50.00,171704.71,1300.06,70169.06,0.00,250.00,13956.82,9353.07,100.00,0.00,1050.04,0.00,200.00
0.6446,250.00,0.00,250.00,171603.53,1600.09,67757.65,0.00,0.00,13106.01,9052.87,0.00,0.00,1350.06,100.00,150.00
0.9446,150.00,0.00,50.00,176056.13,600.01,65447.09,150.00,250.00,14557.42,9353.07,50.00,0.00,800.02,50.00,250.00
1.2446,300.00,0.00,50.00,169276.57,2600.23,72681.35,200.00,100.00,16509.54,9553.20,200.00,0.00,1100.04,50.00,50.00
1.5446,100.00,0.00,0.00,174841.64,2800.27,74389.97,250.00,150.00,14207.06,8452.50,50.00,0.00,1100.04,50.00,100.00
1.8446,250.00,0.00,100.00,177270.70,1300.06,72480.36,50.00,200.00,14707.57,8002.24,0.00,0.00,900.03,50.00,100.00
2.1447,100.00,0.00,50.00,174740.44,1400.07,70872.45,50.00,50.00,14957.83,8352.45,100.00,0.00,1050.04,0.00,50.00
2.4447,300.00,0.00,50.00,179902.62,2500.21,68159.52,50.00,150.00,13856.72,8852.75,100.00,0.00,1100.04,100.00,350.00
2.7447,150.00,0.00,0.00,172514.17,2000.14,70771.97,150.00,150.00,14457.32,8602.59,0.00,0.00,1200.05,0.00,150.00
3.0447,100.00,0.00,0.00,173627.26,2300.18,71374.91,50.00,200.00,14557.42,8802.72,0.00,0.00,1100.04,0.00,100.00
3.3447,150.00,0.00,150.00,174436.83,1300.06,69666.64,50.00,50.00,14157.01,8902.78,0.00,0.00,950.03,100.00,150.00
3.6447,250.00,0.00,0.00,174841.64,2000.14,69666.64,50.00,50.00,15558.47,8452.50,0.00,0.00,700.02,0.00,50.00
3.9447,0.00,0.00,0.00,166343.12,1200.05,76199.32,100.00,150.00,14257.12,7902.19,0.00,0.00,1150.05,0.00,100.00
4.2448,100.00,0.00,100.00,168366.13,1300.06,70269.53,50.00,50.00,15558.47,9152.94,200.00,0.00,950.03,0.00,200.00
4.5448,200.00,0.00,100.00,174538.04,2000.14,73987.93,100.00,250.00,15208.09,8902.78,50.00,50.00,1000.04,50.00,400.01
4.8448,150.00,0.00,100.00,176056.13,2000.14,69566.16,50.00,250.00,14607.47,8652.62,50.00,0.00,1000.04,50.00,100.00
5.1448,150.00,50.00,50.00,165129.44,1500.08,69365.20,100.00,100.00,13606.48,8302.42,50.00,0.00,1300.06,0.00,100.00
5.4448,200.00,0.00,100.00,169782.40,1500.08,69968.08,0.00,150.00,13956.82,10153.61,0.00,0.00,1750.11,0.00,200.00
5.7448,300.00,0.00,0.00,168366.13,1900.12,72681.35,100.00,300.00,16509.54,8652.62,50.00,0.00,1250.06,100.00,150.00
6.0449,100.00,0.00,50.00,170085.90,1700.10,76802.48,200.00,0.00,14106.97,8052.27,50.00,0.00,800.02,50.00,100.00
6.3449,100.00,0.00,50.00,173121.30,2100.15,77908.34,100.00,50.00,14957.83,7151.79,0.00,0.00,1500.08,0.00,100.00
6.6449,350.00,0.00,150.00,170288.26,1900.12,70771.97,50.00,50.00,14807.67,8302.42,0.00,0.00,1000.04,0.00,250.00
6.9449,100.00,0.00,50.00,177675.59,1200.05,67858.11,100.00,100.00,13606.48,7702.08,0.00,0.00,700.02,100.00,250.00
7.2449,100.00,0.00,0.00,170490.60,2100.15,71475.40,100.00,50.00,15057.94,9303.03,0.00,0.00,1350.06,0.00,150.00
7.5449,300.00,0.00,0.00,173829.65,2300.18,75093.58,200.00,100.00,14857.73,8602.59,0.00,0.00,1000.04,0.00,400.01
7.8449,300.00,0.00,300.00,171704.71,1900.12,77305.13,0.00,200.00,14507.37,9002.84,0.00,0.00,850.03,0.00,250.00
8.1450,100.00,0.00,100.00,168568.44,2000.14,72379.86,100.00,50.00,15708.64,9052.87,0.00,0.00,850.03,0.00,200.00
8.4450,200.00,0.00,100.00,176460.97,1000.03,74993.06,50.00,0.00,14807.67,7902.19,50.00,0.00,1250.06,100.00,50.00
8.7450,200.00,0.00,100.00,172109.44,1300.06,69264.73,100.00,50.00,14707.57,9253.00,0.00,0.00,1500.08,0.00,250.00
9.0450,50.00,0.00,150.00,164927.16,1300.06,73384.88,150.00,100.00,14257.12,8852.75,0.00,50.00,1000.04,100.00,50.00
9.3450,50.00,0.00,200.00,171300.00,1500.08,66552.09,50.00,50.00,14707.57,9503.17,50.00,0.00,1000.04,0.00,150.00
9.6450,100.00,0.00,50.00,167556.88,2100.15,78913.75,150.00,50.00,14357.21,8802.72,50.00,100.00,1150.05,0.00,200.00
9.9450,0.00,0.00,50.00,176056.13,1200.05,78813.20,100.00,50.00,14257.12,9303.03,150.00,0.00,1350.06,0.00,150.00
10.2451,250.00,0.00,150.00,174133.24,1400.07,69867.60,50.00,300.00,13506.38,7652.05,50.00,0.00,1350.06,100.00,150.00
10.5451,300.00,0.00,200.00,170187.07,2000.14,65145.74,100.00,100.00,14707.57,7501.97,0.00,50.00,1050.04,100.00,150.00
10.8451,400.01,50.00,100.00,180510.06,2500.21,79014.29,50.00,100.00,13956.82,8052.27,0.00,0.00,1100.04,0.00,0.00
11.1451,150.00,0.00,200.00,178181.69,1600.09,79517.02,50.00,0.00,15608.53,9903.44,200.00,0.00,1250.06,0.00,250.00
11.4451,150.00,0.00,50.00,166747.69,1700.10,71776.88,100.00,400.01,14957.83,8902.78,0.00,0.00,1100.04,50.00,250.00
11.7451,100.00,0.00,0.00,173020.12,800.02,73384.88,0.00,50.00,13706.58,8802.72,100.00,0.00,1400.07,0.00,100.00
12.0452,400.01,0.00,0.00,170591.76,1700.10,76701.95,0.00,50.00,15158.04,9052.87,100.00,0.00,900.03,0.00,50.00
12.3452,200.00,50.00,0.00,167759.19,1600.09,75495.65,250.00,150.00,14307.16,8602.59,50.00,0.00,1050.04,0.00,250.00
12.6452,150.00,0.00,50.00,174032.04,1300.06,74088.44,0.00,50.00,16059.03,7952.22,0.00,0.00,800.02,100.00,150.00
12.9452,250.00,0.00,0.00,175550.07,1800.11,73585.89,100.00,0.00,14707.57,8502.53,0.00,0.00,600.01,50.00,400.01
13.2452,0.00,0.00,0.00,171300.00,1200.05,70771.97,50.00,100.00,13406.29,8602.59,0.00,0.00,1150.05,50.00,250.00
13.5452,0.00,0.00,50.00,169782.40,1600.09,72681.35,50.00,350.00,13856.72,7952.22,100.00,0.00,1800.11,50.00,200.00
13.8452,250.00,0.00,50.00,178485.38,1700.10,73083.37,100.00,250.00,13656.53,8952.81,50.00,0.00,1300.06,0.00,200.00
14.1453,300.00,0.00,150.00,164826.04,1900.12,70972.94,50.00,0.00,14507.37,9853.40,50.00,0.00,1200.05,50.00,50.00
14.4453,300.00,0.00,250.00,170996.46,1700.10,61027.91,150.00,50.00,16559.60,8102.30,100.00,0.00,900.03,50.00,300.00
14.7453,250.00,0.00,250.00,170389.42,2000.14,65949.35,250.00,100.00,14106.97,8802.72,0.00,0.00,900.03,0.00,150.00
15.0453,200.00,0.00,50.00,163612.49,1700.10,73786.91,50.00,100.00,14557.42,8452.50,50.00,0.00,950.03,0.00,200.00
15.3453,150.00,0.00,100.00,172412.99,1900.12,77003.54,50.00,100.00,13356.24,8202.36,0.00,0.00,1150.05,0.00,150.00
15.6453,300.00,0.00,50.00,169276.57,2500.21,72781.86,200.00,100.00,15308.20,10353.76,200.00,0.00,1200.05,50.00,100.00
15.9453,150.00,0.00,100.00,167354.59,2300.18,77305.13,150.00,100.00,15708.64,8552.56,100.00,50.00,1050.04,0.00,100.00
16.2454,300.00,50.00,150.00,171401.17,1600.09,67054.39,150.00,50.00,14457.32,9002.84,0.00,50.00,800.02,0.00,100.00
16.5454,300.00,0.00,0.00,172008.25,2200.17,66953.93,100.00,50.00,13556.43,8252.39,50.00,0.00,1300.06,0.00,100.00
16.8454,250.00,0.00,50.00,170692.94,1400.07,77003.54,0.00,50.00,13306.20,8952.81,100.00,0.00,1050.04,50.00,200.00
17.1454,100.00,0.00,100.00,164724.90,1300.06,68963.30,150.00,50.00,13306.20,8302.42,100.00,0.00,1000.04,0.00,100.00
17.4454,200.00,0.00,100.00,166140.83,2500.21,65748.44,250.00,250.00,14257.12,8202.36,0.00,0.00,1400.07,0.00,50.00
17.7454,200.00,0.00,150.00,171805.88,1900.12,67757.65,100.00,150.00,16459.48,8502.53,0.00,0.00,1350.06,0.00,200.00
18.0455,300.00,0.00,100.00,173222.50,2300.18,73686.40,0.00,100.00,14457.32,9803.37,100.00,0.00,1450.07,50.00,150.00
18.3455,350.00,50.00,100.00,172514.17,1500.08,69465.68,50.00,250.00,13656.53,8702.66,0.00,0.00,900.03,0.00,100.00
18.6455,200.00,0.00,0.00,172615.36,1100.04,79315.93,50.00,0.00,12605.56,8602.59,100.00,0.00,1550.09,50.00,150.00
18.9455,300.00,0.00,100.00,170187.07,1400.07,73183.87,150.00,100.00,14557.42,8452.50,100.00,0.00,1400.07,0.00,150.00
19.2455,100.00,0.00,0.00,172817.74,1700.10,78411.04,150.00,150.00,15107.99,9152.94,0.00,0.00,750.02,50.00,400.01
19.5455,250.00,0.00,50.00,174133.24,2000.14,75294.62,200.00,150.00,14006.87,8802.72,50.00,0.00,1350.06,0.00,300.00
19.8455,200.00,0.00,0.00,167354.59,900.03,72681.35,50.00,150.00,14557.42,10453.83,0.00,50.00,1250.06,50.00,100.00
20.1456,0.00,0.00,0.00,175246.45,1700.10,72279.36,100.00,50.00,14707.57,8202.36,0.00,0.00,1000.04,100.00,200.00
20.4456,250.00,0.00,0.00,172716.55,2400.20,67355.79,0.00,150.00,15007.88,8552.56,50.00,0.00,950.03,0.00,150.00
20.7456,300.00,0.00,0.00,172514.17,2100.15,71475.40,100.00,300.00,14707.57,8402.47,50.00,0.00,1050.04,0.00,100.00
21.0456,150.00,0.00,50.00,176460.97,2700.25,72781.86,100.00,50.00,15458.36,9703.30,0.00,0.00,1200.05,50.00,0.00
21.3456,100.00,0.00,0.00,173222.50,2000.14,74490.49,100.00,50.00,13456.34,8502.53,50.00,0.00,1050.04,0.00,200.00
21.6456,200.00,0.00,0.00,171805.88,1700.10,74691.52,150.00,150.00,14157.01,8552.56,0.00,0.00,900.03,0.00,200.00
21.9457,150.00,0.00,50.00,174436.83,1200.05,72379.86,100.00,100.00,16059.03,8852.75,50.00,0.00,1250.06,0.00,50.00
22.2457,250.00,0.00,50.00,172514.17,1700.10,71374.91,100.00,100.00,13856.72,7952.22,100.00,0.00,800.02,0.00,150.00
22.5457,200.00,0.00,50.00,171907.07,1500.08,68460.93,50.00,0.00,14357.21,8452.50,0.00,0.00,1000.04,0.00,150.00
22.8457,150.00,0.00,50.00,167455.74,1500.08,69968.08,50.00,0.00,14507.37,7552.00,0.00,0.00,600.01,50.00,200.00
23.1457,400.01,0.00,0.00,173930.85,1500.08,71776.88,100.00,50.00,14607.47,9002.84,100.00,0.00,1200.05,0.00,0.00
23.4457,200.00,0.00,0.00,169074.24,1200.05,74892.55,50.00,250.00,13856.72,8602.59,0.00,0.00,1350.06,0.00,100.00
23.7457,100.00,0.00,100.00,172514.17,2000.14,73384.88,0.00,100.00,14307.16,8052.27,50.00,50.00,950.03,150.00,250.00
24.0458,150.00,0.00,100.00,172716.55,1400.07,75395.14,0.00,150.00,14056.92,8802.72,0.00,0.00,1200.05,50.00,200.00
24.3458,200.00,0.00,100.00,172109.44,1700.10,71575.89,100.00,50.00,14357.21,8602.59,100.00,0.00,1050.04,100.00,150.00
24.6458,300.00,0.00,0.00,171907.07,2300.18,80522.54,100.00,200.00,14807.67,7401.92,50.00,50.00,1150.05,0.00,100.00
24.9458,200.00,0.00,150.00,171907.07,2100.15,72480.36,0.00,50.00,14557.42,6801.62,100.00,0.00,500.01,0.00,150.00
25.2458,100.00,0.00,50.00,172716.55,2200.17,67958.58,0.00,50.00,15558.47,8652.62,0.00,0.00,950.03,0.00,250.00
25.5458,350.00,0.00,200.00,172412.99,1200.05,73284.38,100.00,50.00,14357.21,9903.44,100.00,100.00,750.02,200.00,50.00
25.8458,250.00,0.00,0.00,172311.80,2000.14,71776.88,50.00,150.00,14157.01,9102.90,100.00,0.00,1200.05,0.00,250.00
26.1459,300.00,0.00,250.00,173020.12,1100.04,69264.73,100.00,200.00,14407.26,7151.79,0.00,0.00,950.03,50.00,150.00
26.4459,100.00,0.00,200.00,174740.44,1400.07,72078.36,50.00,0.00,14257.12,8152.33,0.00,0.00,850.03,100.00,150.00
26.7459,100.00,0.00,50.00,171300.00,2800.27,72178.86,50.00,0.00,13856.72,8952.81,100.00,0.00,1150.05,0.00,100.00
27.0459,250.00,0.00,100.00,168264.97,1300.06,72078.36,50.00,50.00,13756.62,8352.45,50.00,0.00,1000.04,0.00,100.00
