Intensity Vs Time, Counts Per Second
Time in Seconds ,Li7,Na23,Al27,K39,Ca43,Ti47,Fe57,Cu63,Zn66,P31,Cs133,La139,Ce140,Ta181,Au197,Pb208,Th232,Nb93,Pr141,Eu153,Tb159,Ho165,Er166,Tm169,Lu175,Rb85,Sr88,Y89,Mg24,Ba137,Hf178,Nd146,Zr90,Sm147,Gd157,Dy163,Yb172,Si29,S33,B11,V51,Se77,Mn55,Mo95,As75
0.,0.,700.01715042019,200.0014000098,35343.667100703,200.0014000098,0.,300.00315003308,0.,0.,3200.3584401453,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,82738.908598578,9603.2266841659,0.,0.,0.,1600.0896050179,0.,0
0.729,0.,500.00875015313,200.0014000098,38351.410065192,100.00035000123,0.,200.0014000098,0.,20.00001400001,4300.6472474107,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,83644.157295145,8302.4118506426,0.,0.,0.,1400.0686033616,0.,0
1.458,0.,500.00875015313,0.,41460.075649616,200.0014000098,0.,300.00315003308,0.,20.00001400001,4200.6174907711,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,87869.407603713,8202.3540756197,0.,0.,0.,1100.0423516305,0.,0
2.187,0.,600.01260026461,200.0014000098,36446.43275533,300.00315003308,0.,200.0014000098,0.,20.00001400001,3200.3584401453,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,84750.650047516,7802.1299814849,100.00035000123,0.,0.,1300.0591526914,0.,0
2.916,0.,200.0014000098,200.0014000098,40958.632282112,300.00315003308,0.,200.0014000098,0.,20.00001400001,2700.255174114,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,75498.977555347,6501.4790864922,0.,200.0014000098,0.,1100.0423516305,0.,0
3.645,0.,500.00875015313,0.,35243.419893309,200.0014000098,0.,300.00315003308,0.,20.00001400001,3700.479212058,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,91089.482374988,7902.1849541398,0.,0.,0.,800.02240062722,0.,0
4.374,0.,0.,400.0056000784,40156.359450489,400.0056000784,0.,200.0014000098,0.,0.,3200.3584401453,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,73488.534836122,6201.3456920152,100.00035000123,0.,0.,1000.035001225,0.,0
5.103,0.,300.00315003308,100.00035000123,37850.075650085,200.0014000098,0.,300.00315003308,0.,20.00001400001,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,83644.157295145,7001.715420278,0.,0.,0.,1400.0686033616,0.,0
5.832,0.,400.0056000784,200.0014000098,35844.913676837,200.0014000098,0.,300.00315003308,0.,0.,2900.2943798796,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,76805.916662572,5701.1373769067,0.,100.00035000123,0.,1000.035001225,0.,0
6.561,0.,600.01260026461,0.,39955.798272287,100.00035000123,0.,500.00875015313,0.,20.00001400001,3400.4046481531,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,81531.99930402,6601.524952264,0.,0.,0.,1200.0504021169,0.,0
7.29,0.,200.0014000098,0.,42162.125892503,0.,0.,300.00315003308,0.,20.00001400001,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,80224.628961091,6501.4790864922,0.,0.,0.,1800.1134071446,0.,0
8.019,0.,400.0056000784,0.,43365.720749796,200.0014000098,0.,400.0056000784,0.,0.,4100.5884344403,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,82336.594203444,6001.2602646556,0.,0.,0.,1200.0504021169,0.,0
8.748,0.,400.0056000784,100.00035000123,38852.762050865,200.0014000098,0.,300.00315003308,0.,0.,3000.3150330785,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,85253.629547905,7301.8656266676,0.,0.,0.,1900.1263584028,0.,0
9.477,0.,100.00035000123,0.,38551.948750942,100.00035000123,0.,300.00315003308,0.,20.00001400001,3000.3150330785,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,87466.949128741,7001.715420278,0.,0.,0.,1800.1134071446,0.,0
10.206,0.,700.01715042019,200.0014000098,40958.632282112,200.0014000098,0.,300.00315003308,0.,0.,2500.2187691423,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,79319.596302363,7501.9692669326,0.,0.,0.,1000.035001225,0.,0
10.935,0.,400.0056000784,100.00035000123,42162.125892503,100.00035000123,0.,300.00315003308,0.,20.00001400001,4000.560078411,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,82839.488962591,7101.76478855,0.,0.,0.,1200.0504021169,0.,0
11.664,0.,700.01715042019,200.0014000098,34942.682486657,0.,0.,200.0014000098,0.,40.000056000078,4600.7407192558,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,85555.425723497,5000.8751531518,0.,0.,0.,1300.0591526914,0.,0
12.393,0.,300.00315003308,100.00035000123,41961.536593414,0.,0.,400.0056000784,20.00001400001,20.00001400001,4600.7407192558,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,79822.38516507,7802.1299814849,0.,0.,0.,1900.1263584028,0.,0
13.122,0.,400.0056000784,100.00035000123,41159.207520018,0.,0.,300.00315003308,0.,0.,3500.4288025283,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,84046.508409164,6401.4339211983,0.,0.,0.,1300.0591526914,0.,0
13.851,0.,200.0014000098,100.00035000123,37148.236985726,0.,0.,500.00875015313,0.,0.,2800.2744268938,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,81129.718798779,7501.9692669326,0.,0.,0.,1200.0504021169,0.,100.0003500012
14.58,0.,700.01715042019,200.0014000098,37248.497543802,200.0014000098,0.,200.0014000098,0.,0.,3200.3584401453,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,83744.744014382,7001.715420278,0.,0.,0.,1200.0504021169,0.,0
15.309,0.,400.0056000784,300.00315003308,39253.856290831,300.00315003308,0.,400.0056000784,0.,0.,4500.7088616457,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,81733.143792669,6301.3894563751,100.00035000123,0.,0.,1200.0504021169,0.,0
16.038,0.,200.0014000098,300.00315003308,41058.919549554,500.00875015313,0.,800.02240062722,0.,0.,3100.3363864979,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,91894.61413291,7902.1849541398,0.,0.,0.,800.02240062722,0.,0
16.767,100.00035000123,300.00315003308,200.0014000098,36446.43275533,300.00315003308,100.00035000123,100.00035000123,0.,20.00001400001,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,78615.721539905,6301.3894563751,0.,0.,0.,1500.0787541346,0.,0
17.496,100.00035000123,700.01715042019,0.,39554.684351115,200.0014000098,0.,100.00035000123,0.,20.00001400001,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,82940.07003271,8102.2970011998,0.,0.,0.,1500.0787541346,0.,0
18.225,0.,500.00875015313,200.0014000098,35644.412938521,100.00035000123,0.,400.0056000784,20.00001400001,20.00001400001,3500.4288025283,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,86159.037145177,6301.3894563751,0.,0.,0.,1300.0591526914,0.,0
18.954,0.,200.0014000098,100.00035000123,40056.078509914,100.00035000123,0.,100.00035000123,0.,0.,3400.4046481531,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,80626.884051722,7401.917096528,0.,0.,0.,1700.1011560188,0.,0
19.683,0.,700.01715042019,100.00035000123,40758.059856265,100.00035000123,0.,500.00875015313,0.,0.,3500.4288025283,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,87064.501956945,7702.0757094037,0.,0.,0.,1500.0787541346,0.,0
20.412,0.,400.0056000784,100.00035000123,41058.919549554,200.0014000098,0.,400.0056000784,0.,20.00001400001,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,89680.610630663,6601.524952264,0.,0.,0.,1100.0423516305,0.,0
21.141,0.,900.02835089305,0.,35844.913676837,100.00035000123,0.,300.00315003308,0.,0.,2700.255174114,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,87265.724129976,6701.5715185211,0.,0.,0.,900.02835089305,0.,0
21.87,0.,200.0014000098,0.,39554.684351115,0.,0.,200.0014000098,0.,0.,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,81934.291105416,6401.4339211983,0.,0.,0.,1500.0787541346,0.,0
