C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16apr18.b\16apr18_a09.d
Intensity Vs Time,CPS
Acquired      : 18/04/2016 14:02:11 using Batch PAM_FI_16apr18.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
0.3618,0.00,0.00,7001.62,0.00,113223.24,112871.50,3050.31,13806.36,3400.39,0.00,1400.07,0.00,0.00,0.00,600.01,2700.25,0.00,0.00,50.00,400.01,0.00,0.00,0.00,0.00,0.00
0.6588,0.00,0.00,5901.15,0.00,61324.37,114080.55,2900.28,13406.00,800.02,0.00,600.01,200.00,0.00,0.00,0.00,3050.32,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
0.9558,0.00,0.00,5801.11,0.00,28226.38,110705.51,2950.29,15007.51,2200.16,0.00,2400.19,0.00,0.00,0.00,200.00,3500.42,0.00,0.00,0.00,400.01,0.00,0.00,0.00,16.67,0.00
1.2528,0.00,0.00,5300.93,0.00,15808.28,114130.93,3250.35,11004.04,1200.05,0.00,1800.11,200.00,0.00,0.00,200.00,3100.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5499,0.00,0.00,4500.67,0.00,8602.45,111964.77,3450.40,11604.49,2800.26,0.00,3000.30,600.01,0.00,0.00,0.00,2900.29,0.00,0.00,0.00,400.01,0.00,0.00,0.00,16.67,0.00
1.8469,0.00,0.00,6501.39,0.00,7601.91,120580.92,2750.25,11404.34,2400.19,0.00,1000.03,0.00,0.00,0.00,0.00,2650.24,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
2.1439,0.00,0.00,5601.03,0.00,6401.36,109093.80,3400.38,11404.34,2200.16,0.00,1800.11,200.00,0.00,200.00,0.00,3150.34,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
2.4409,0.00,0.00,7902.06,0.00,5000.83,113476.01,3350.37,14206.73,2800.26,0.00,400.01,200.00,0.00,0.00,0.00,2800.27,0.00,0.00,0.00,600.01,0.00,0.00,0.00,0.00,0.00
2.7380,0.00,0.00,5100.86,0.00,6201.27,116196.64,2800.26,14206.73,1800.11,200.00,1600.09,0.00,0.00,0.00,0.00,2400.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.0350,0.00,200.00,4700.73,0.00,6601.44,108489.45,3450.40,10603.75,1000.03,0.00,1800.11,200.00,0.00,0.00,200.00,3300.37,0.00,0.00,50.00,0.00,0.00,0.00,0.00,16.67,0.00
3.3320,0.00,0.00,6301.31,0.00,3800.48,110906.98,3100.32,16408.98,3800.48,0.00,1600.09,0.00,0.00,0.00,200.00,3000.31,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
3.6290,0.00,0.00,5801.11,0.00,4600.70,114080.55,3400.38,12004.81,2000.13,0.00,1200.05,0.00,0.00,0.00,0.00,2700.25,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
3.9261,0.00,0.00,5901.15,0.00,4000.53,111108.46,3550.42,12204.97,3400.39,0.00,2400.19,400.01,0.00,0.00,0.00,3200.35,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
4.2231,0.00,0.00,5400.96,0.00,3400.38,109950.00,3250.35,14607.12,2400.19,0.00,2200.16,0.00,0.00,0.00,200.00,2900.29,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
4.5201,0.00,200.00,5400.96,0.00,5400.97,114634.74,3450.40,13205.82,2000.13,0.00,1200.05,200.00,0.00,0.00,200.00,3250.36,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
4.8171,0.00,0.00,5100.86,0.00,6001.19,108640.54,2850.27,12204.97,1800.11,0.00,2800.26,0.00,0.00,0.00,0.00,3500.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.1142,0.00,0.00,4600.70,0.00,5601.04,114685.12,3700.46,12004.81,2600.23,0.00,2000.14,0.00,0.00,0.00,0.00,3100.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.4112,0.00,0.00,5901.15,0.00,7001.62,113022.62,3600.43,13005.64,2600.23,0.00,1800.11,0.00,0.00,200.00,200.00,2650.24,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
5.7082,0.00,0.00,5100.86,0.00,4800.76,111309.94,4050.55,12405.13,1200.05,0.00,1400.07,0.00,0.00,0.00,200.00,2600.23,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
6.0052,0.00,0.00,5901.15,0.00,4200.58,107381.57,3250.35,12605.30,1000.03,0.00,1400.07,200.00,0.00,0.00,200.00,2750.26,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
6.3023,0.00,0.00,6001.19,0.00,3600.43,106626.22,3700.46,15808.34,1000.03,0.00,2200.16,600.01,0.00,0.00,0.00,3600.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5993,0.00,0.00,5400.96,0.00,4400.64,108036.22,3550.42,15007.51,2600.23,0.00,2400.19,0.00,0.00,0.00,0.00,3300.37,0.00,0.00,0.00,200.00,0.00,0.00,0.00,33.33,0.00
6.8963,0.00,0.00,4900.79,0.00,3400.38,111712.90,3050.31,11404.34,1400.07,0.00,1200.05,200.00,0.00,0.00,200.00,2500.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.1933,0.00,0.00,5200.89,0.00,5801.12,110252.20,3450.40,9603.08,2000.13,0.00,2400.19,200.00,0.00,0.00,0.00,2650.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.4904,0.00,200.00,5000.83,0.00,6201.27,114937.04,3050.31,12805.47,2800.26,0.00,1600.09,200.00,0.00,0.00,200.00,3150.34,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
7.7874,0.00,0.00,4600.70,0.00,3800.48,110403.30,3200.34,11604.49,1400.07,0.00,1600.09,200.00,0.00,0.00,200.00,3450.41,0.00,0.00,0.00,200.00,200.00,0.00,0.00,0.00,0.00
8.0844,0.00,0.00,5801.11,0.00,5601.04,112367.75,2950.29,14006.54,3000.30,0.00,1200.05,0.00,0.00,0.00,0.00,3000.31,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
8.3814,0.00,0.00,5601.03,0.00,3600.43,110655.13,3550.42,13806.36,2000.13,0.00,2400.19,0.00,0.00,0.00,0.00,2700.25,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
8.6785,0.00,0.00,4100.55,0.00,5601.04,109647.80,3300.36,15007.51,1200.05,0.00,2200.16,0.00,0.00,200.00,200.00,2700.25,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
8.9755,0.00,0.00,5100.86,0.00,6801.53,116398.19,3750.47,13806.36,1000.03,0.00,1800.11,0.00,0.00,0.00,200.00,2600.23,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
9.2725,0.00,0.00,6901.57,0.00,5601.04,104561.82,3900.51,15007.51,2000.13,0.00,1400.07,0.00,0.00,0.00,0.00,2900.29,0.00,0.00,0.00,400.01,0.00,0.00,0.00,16.67,0.00
9.5695,0.00,200.00,5000.83,0.00,5601.04,112569.25,3200.34,14607.12,2000.13,0.00,2200.16,200.00,0.00,0.00,0.00,2800.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.8666,0.00,400.01,5601.03,0.00,6401.36,111511.41,2550.22,11804.65,1600.09,0.00,2400.19,0.00,0.00,0.00,200.00,3150.34,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
10.1636,0.00,0.00,6101.23,0.00,4200.58,111964.77,3100.32,14206.73,2000.13,0.00,2400.19,0.00,0.00,0.00,200.00,2500.21,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
10.4606,0.00,0.00,5501.00,0.00,4800.76,109597.44,3700.46,12004.81,1400.07,0.00,2000.14,400.01,0.00,0.00,200.00,3450.41,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
10.7576,0.00,0.00,6301.31,0.00,4400.64,111511.41,3850.49,10203.47,2200.16,0.00,2000.14,0.00,0.00,0.00,0.00,1900.12,0.00,0.00,0.00,600.01,0.00,0.00,0.00,0.00,0.00
11.0547,0.00,0.00,4600.70,0.00,6201.27,108237.66,3450.40,15207.71,2400.19,0.00,1800.11,200.00,0.00,0.00,0.00,2900.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
11.3517,0.00,0.00,4900.79,0.00,5601.04,109496.72,2450.20,12405.13,2000.13,0.00,2200.16,400.01,0.00,0.00,0.00,2550.22,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
11.6487,0.00,0.00,5501.00,0.00,4200.58,109295.25,4250.60,13005.64,2400.19,0.00,1400.07,200.00,0.00,0.00,200.00,3000.31,0.00,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00
11.9457,0.00,0.00,6101.23,0.00,5000.83,107129.77,3750.47,13005.64,2200.16,0.00,2000.14,0.00,0.00,0.00,0.00,3050.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.2428,0.00,0.00,4300.61,0.00,5801.12,112972.25,3000.30,12405.13,1000.03,0.00,2000.14,400.01,0.00,0.00,0.00,3000.31,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
12.5398,0.00,0.00,5601.03,0.00,3600.43,110604.76,3200.34,13806.36,2200.16,0.00,1200.05,0.00,0.00,0.00,0.00,2600.23,0.00,0.00,0.00,600.01,0.00,0.00,0.00,0.00,0.00
12.8368,0.00,0.00,7501.86,0.00,5400.97,112065.50,2800.26,15407.92,2000.13,0.00,1800.11,200.00,0.00,0.00,200.00,3250.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
13.1338,0.00,0.00,6101.23,0.00,6601.44,111511.41,3300.36,11004.04,3000.30,0.00,2600.23,200.00,0.00,0.00,0.00,2800.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.4309,0.00,0.00,3900.50,0.00,5400.97,106475.16,2950.29,11404.34,2400.19,0.00,2000.14,0.00,0.00,0.00,200.00,2300.18,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
13.7279,0.00,0.00,5901.15,0.00,4000.53,109345.62,2600.23,11804.65,1600.09,0.00,1400.07,200.00,0.00,0.00,0.00,2950.30,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00
14.0249,0.00,0.00,4200.58,0.00,4600.70,110000.37,2600.23,10803.89,1400.07,0.00,2000.14,0.00,0.00,0.00,0.00,3600.45,0.00,0.00,0.00,0.00,200.00,0.00,0.00,33.33,0.00
14.3219,0.00,200.00,3600.43,0.00,8002.12,111360.30,2850.27,12805.47,3000.30,0.00,1000.03,200.00,0.00,200.00,0.00,3000.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.6190,0.00,0.00,5200.89,0.00,5400.97,113828.66,3350.37,13005.64,2000.13,0.00,2600.23,200.00,0.00,0.00,0.00,2700.25,0.00,0.00,100.00,0.00,0.00,0.00,0.00,16.67,0.00
14.9160,0.00,0.00,4900.79,0.00,4000.53,109950.00,2650.23,12204.97,2000.13,0.00,1600.09,0.00,0.00,0.00,0.00,3200.35,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
15.2130,0.00,0.00,5601.03,0.00,4200.58,113274.50,2700.24,13806.36,1400.07,0.00,2800.26,0.00,0.00,0.00,0.00,2000.14,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
15.5100,0.00,0.00,4000.53,0.00,5801.12,105870.92,3150.33,13606.18,2800.26,0.00,2200.16,0.00,0.00,0.00,0.00,2500.21,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
15.8071,200.00,0.00,5100.86,0.00,3800.48,111309.94,2750.25,13005.64,1600.09,0.00,1200.05,0.00,0.00,0.00,0.00,2650.24,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
16.1041,0.00,0.00,7101.66,0.00,4600.70,110806.24,3400.38,15808.34,1200.05,0.00,1200.05,0.00,0.00,0.00,0.00,2450.21,200.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
16.4011,0.00,0.00,5901.15,0.00,5400.97,108690.91,3900.51,10403.61,2000.13,0.00,1600.09,400.01,0.00,0.00,200.00,2600.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.6981,0.00,0.00,5801.11,0.00,5801.12,108841.99,2950.29,13406.00,2600.23,0.00,1400.07,0.00,0.00,0.00,0.00,3150.34,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
16.9952,0.00,0.00,5000.83,0.00,4000.53,108590.19,3450.40,13806.36,2600.23,0.00,2400.19,200.00,0.00,0.00,0.00,2400.20,0.00,0.00,50.00,0.00,0.00,0.00,0.00,33.33,0.00
17.2922,0.00,0.00,5601.03,0.00,4600.70,107784.42,2500.21,11204.19,2000.13,0.00,2000.14,0.00,0.00,0.00,200.00,3250.36,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
17.5892,0.00,200.00,4200.58,0.00,5601.04,109950.00,3150.33,11204.19,2800.26,0.00,2800.26,200.00,0.00,0.00,0.00,2250.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
