D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a08.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 10:48:23 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
0.2772,2500.21,0.00,21015.13,0.00,0.00,10003.44,1500.08,2000.14,250.00,42562.68,0.00,6501.47,0.00,0.00,0.00,3000.32,75197.62,500.01,0.00,0.00,0.00,0.00,1250.06,500.01,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.4572,500.01,0.00,16509.34,0.00,1500.08,10003.44,3500.42,2250.17,750.02,36546.22,0.00,7501.96,0.00,0.00,0.00,5501.06,73187.21,1000.04,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6373,500.01,0.00,12505.36,500.01,0.00,13005.82,2500.22,2750.26,1000.03,41559.76,0.00,6501.47,500.01,0.00,0.00,500.01,65148.38,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.8173,1000.03,0.00,20514.42,500.01,0.00,12505.38,2500.22,1000.03,1500.08,52093.86,0.00,5501.05,0.00,0.00,0.00,500.01,75700.27,1000.04,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9974,3000.31,500.01,17510.50,0.00,1500.08,14507.24,2500.22,1000.03,1250.05,42562.68,1000.03,8002.23,0.00,0.00,0.00,2000.14,70674.59,1000.04,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,500.01,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.1774,1500.08,0.00,21015.13,0.00,0.00,11004.17,500.01,1250.05,500.01,44067.18,500.01,5501.05,0.00,0.00,0.00,1000.04,76202.93,1500.08,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.3575,500.01,0.00,15007.72,0.00,500.01,9002.79,2000.14,1000.03,1500.08,37548.79,0.00,4500.70,0.00,0.00,0.00,2000.14,69167.24,1000.04,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5375,2000.14,0.00,13506.25,0.00,0.00,14006.75,2500.22,2250.17,1000.03,39052.77,0.00,5000.87,1000.03,0.00,0.00,2500.22,73689.78,2000.14,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.7175,1000.03,0.00,24520.59,0.00,0.00,9002.79,1000.03,2250.17,500.01,34040.10,500.01,5000.87,0.00,0.00,0.00,4000.56,75197.62,1500.08,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8976,1500.08,0.00,16509.34,0.00,500.01,14006.75,5000.86,2250.17,1250.05,39052.77,0.00,6501.47,0.00,500.01,0.00,3000.32,70674.59,3000.32,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
