C:\Agilent\ICPMH\1\DATA\User Batches\Johan\Scapolites\16nov14_Scapolite_comparison.b\16nov14_a03.d
Intensity Vs Time,CPS
Acquired      : 14/11/2016 14:02:52 using Batch 16nov14_Scapolite_comparison.b
Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca44,Ti49,Mn55,Fe56,Fe57,Zn66,Br81,Rb85,Sr88,I127,Cs133,Ba137,Pb208
0.3724,0.00,24219.34,0.00,100.00,15608.07,1600.09,1800.11,4450.66,18211.06,9903.28,0.00,8302.32,268715.99,300.00,0.00,1350.06,100.00,0.00,1300.06,100.00,0.00,0.00
0.6864,0.00,21314.98,100.00,300.00,16809.36,2100.15,800.02,4650.72,16509.09,8102.20,0.00,9703.18,248060.25,100.00,0.00,1300.06,0.00,0.00,900.03,0.00,0.00,0.00
1.0004,0.00,20614.01,0.00,300.00,17510.15,1500.07,1800.11,4350.63,17710.46,9803.22,0.00,7401.85,252738.38,400.01,0.00,1000.03,0.00,0.00,1100.04,200.00,0.00,0.00
1.3144,0.00,21014.56,0.00,100.00,14907.36,2800.26,1000.03,4900.80,16208.76,7902.09,0.00,6601.47,249788.96,400.01,0.00,1200.05,0.00,0.00,1100.04,0.00,0.00,0.00
1.6284,0.00,20213.48,0.00,0.00,14807.26,1200.05,1100.04,5250.92,16809.42,7501.88,0.00,8202.27,243078.69,400.01,0.00,1350.06,0.00,0.00,1150.05,0.00,0.00,0.00
1.9425,0.00,24319.50,0.00,100.00,16008.49,1400.07,800.02,3850.49,15908.44,9202.84,0.00,8902.67,248466.99,500.01,0.00,1100.04,0.00,0.00,1275.06,0.00,0.00,0.00
2.2565,0.00,22116.13,0.00,300.00,17710.39,2100.15,2100.15,3050.31,18110.94,7401.83,0.00,8702.55,255891.85,300.00,0.00,1050.04,0.00,0.00,1050.04,0.00,0.00,0.00
2.5705,0.00,22116.13,0.00,300.00,17610.27,1600.09,1400.07,4600.70,16408.98,7301.78,0.00,7501.90,251822.97,500.01,0.00,1100.04,0.00,0.00,750.02,0.00,100.00,0.00
2.8845,0.00,21114.70,0.00,0.00,16709.25,2800.26,1400.07,5050.85,16609.20,8102.20,0.00,7501.90,261997.22,100.00,0.00,750.02,0.00,0.00,1000.04,0.00,0.00,0.00
3.1986,0.00,19112.05,0.00,200.00,16108.59,2000.13,1400.07,4350.63,18211.06,10903.98,0.00,7902.11,252331.54,900.03,0.00,950.03,0.00,0.00,1125.04,0.00,0.00,0.00
3.5126,0.00,19112.05,0.00,0.00,15908.38,2500.21,2000.13,4900.80,17610.34,10103.42,100.00,7301.80,245823.44,200.00,0.00,1550.08,0.00,0.00,1250.06,0.00,0.00,0.00
3.8266,0.00,22616.87,100.00,200.00,13305.87,1800.11,1400.07,4900.80,14306.83,8202.25,0.00,5400.98,264134.67,0.00,0.00,1500.08,0.00,0.00,1000.04,0.00,0.00,0.00
4.1406,0.00,21515.27,0.00,100.00,14607.07,2200.16,1500.07,4950.82,15407.92,9903.28,0.00,8602.50,257621.44,400.01,0.00,1750.11,0.00,0.00,1150.05,0.00,0.00,0.00
4.4546,0.00,21515.27,0.00,200.00,15007.46,2200.16,1100.04,3750.47,15908.44,11904.74,0.00,7501.90,246230.10,500.01,0.00,1150.05,200.00,0.00,800.02,100.00,0.00,0.00
4.7687,0.00,22316.42,0.00,200.00,17610.27,2000.13,2000.13,5551.03,17209.88,8902.65,0.00,6301.34,242977.03,300.00,0.00,1350.06,0.00,0.00,925.03,0.00,0.00,0.00
5.0827,0.00,22416.57,0.00,400.01,16909.47,3600.43,800.02,4200.59,15608.13,9903.28,0.00,6601.47,263116.80,400.01,0.00,1150.05,100.00,0.00,850.03,100.00,0.00,0.00
5.3967,0.00,19612.69,0.00,300.00,15908.38,3100.32,1500.07,4450.66,15407.92,9202.84,0.00,7802.05,257316.21,400.01,0.00,1050.04,0.00,0.00,1350.06,0.00,0.00,100.00
5.7107,0.00,19412.43,0.00,600.01,15708.17,2300.18,2400.19,3600.43,17209.88,9302.90,0.00,6501.43,243485.28,200.00,300.00,1400.07,0.00,0.00,1275.06,100.00,0.00,0.00
6.0248,100.00,19512.56,0.00,200.00,17510.15,3500.41,500.01,4000.53,20514.03,9402.96,0.00,7301.80,258435.42,400.01,0.00,1550.08,100.00,0.00,1125.04,0.00,0.00,0.00
6.3388,0.00,21515.27,0.00,100.00,15407.86,2000.13,2100.15,4700.74,15407.92,8802.59,0.00,8302.32,259351.25,100.00,0.00,1350.06,100.00,0.00,1325.06,0.00,0.00,0.00
6.6528,0.00,21715.55,0.00,500.01,18811.72,1900.12,1700.10,4500.67,15808.34,9503.02,0.00,8702.55,246636.79,200.00,100.00,1300.06,100.00,0.00,1075.04,100.00,0.00,0.00
6.9668,0.00,23918.86,0.00,300.00,14607.07,2400.19,800.02,4000.53,16208.76,12605.32,0.00,6601.47,255586.65,100.00,0.00,1850.12,0.00,0.00,1375.07,0.00,0.00,0.00
7.2808,0.00,23918.86,0.00,200.00,17610.27,2500.21,2100.15,5901.16,17309.99,11704.59,0.00,8402.38,237793.90,200.00,100.00,800.02,0.00,0.00,1175.05,100.00,0.00,0.00
7.5949,0.00,22616.87,0.00,300.00,14907.36,2200.16,1400.07,4550.69,16809.42,7802.04,0.00,6301.34,253653.83,200.00,0.00,1600.09,0.00,0.00,1050.04,100.00,0.00,0.00
7.9089,0.00,23818.71,0.00,200.00,15507.97,3200.34,1600.09,5000.83,17309.99,9202.84,0.00,7201.75,256400.51,200.00,0.00,1350.06,200.00,0.00,1200.05,100.00,0.00,0.00
8.2229,0.00,21715.55,0.00,300.00,17309.92,2200.16,1500.07,3650.44,15708.23,10203.49,0.00,7601.95,258740.70,300.00,0.00,1100.04,0.00,0.00,1125.04,0.00,0.00,0.00
8.5369,0.00,23117.62,0.00,300.00,16709.25,3000.30,2300.18,4300.62,16809.42,9102.77,0.00,7001.65,260063.57,100.00,0.00,1650.09,200.00,0.00,1200.05,0.00,0.00,0.00
