C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16may17.b\16may17_a03.d
Intensity Vs Time,CPS
Acquired      : 17/05/2016 10:10:22 using Batch PAM_FI_16may17.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
0.3622,0.00,0.00,8702.50,0.00,7401.82,199310.52,4600.70,15207.71,3400.39,0.00,3200.35,600.01,0.00,0.00,200.00,4100.58,0.00,0.00,100.00,400.01,0.00,0.00,0.00,0.00,0.00
0.6592,0.00,0.00,12104.83,0.00,5801.12,204225.73,4650.72,18811.80,1600.09,0.00,2600.23,400.01,0.00,0.00,200.00,3800.50,0.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9562,0.00,200.00,11604.44,0.00,5601.04,196372.29,4750.75,16609.20,3400.39,0.00,2400.19,400.01,0.00,0.00,400.01,3350.39,0.00,0.00,0.00,800.02,0.00,0.00,0.00,0.00,0.00
1.2532,0.00,0.00,10803.85,0.00,7201.72,193991.74,5000.83,20213.63,2000.13,0.00,3400.39,600.01,0.00,0.00,0.00,3900.52,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,200.00
1.5503,0.00,0.00,8802.56,0.00,9202.81,184776.90,4200.59,17009.65,4000.54,0.00,3000.30,400.01,0.00,0.00,200.00,3850.51,0.00,0.00,50.00,400.01,0.00,0.00,0.00,33.33,0.00
1.8473,0.00,0.00,10103.37,0.00,7401.82,194498.19,4300.62,20413.90,2800.26,0.00,1400.07,200.00,200.00,0.00,0.00,3950.54,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
2.1443,0.00,0.00,9402.92,0.00,6401.36,200931.86,4950.82,15207.71,2400.19,0.00,2200.16,200.00,200.00,0.00,200.00,3050.32,200.00,0.00,150.00,200.00,0.00,0.00,0.00,0.00,0.00
2.4413,0.00,0.00,10703.78,0.00,6001.19,184928.75,4950.82,17209.88,3400.39,0.00,2600.23,800.02,0.00,0.00,0.00,3100.33,0.00,0.00,100.00,400.01,0.00,0.00,0.00,0.00,0.00
2.7384,0.00,200.00,8902.62,0.00,9002.68,193080.11,4500.67,20213.63,3000.30,0.00,4000.54,0.00,0.00,0.00,0.00,3550.43,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
3.0354,0.00,0.00,10303.50,0.00,10003.31,191662.17,5300.93,21415.29,3000.30,0.00,2800.26,1000.03,0.00,0.00,400.01,3850.51,200.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
3.3324,0.00,0.00,10403.57,0.00,5801.12,196524.26,4750.75,18811.80,4000.54,0.00,4400.65,0.00,0.00,200.00,600.01,3200.35,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
3.6294,0.00,0.00,10203.43,0.00,10003.31,197233.44,5501.01,15608.13,4000.54,0.00,1800.11,600.01,0.00,0.00,0.00,3450.41,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,200.00
3.9265,0.00,0.00,11504.37,0.00,10403.59,186902.91,3850.49,16208.76,4200.59,0.00,800.02,600.01,0.00,0.00,200.00,3450.41,0.00,0.00,100.00,200.00,0.00,0.00,0.00,16.67,0.00
4.2235,0.00,0.00,9402.92,0.00,7001.62,182600.60,4550.69,15407.92,3000.30,0.00,2200.16,200.00,0.00,0.00,200.00,3100.33,0.00,0.00,50.00,200.00,0.00,0.00,0.00,16.67,0.00
4.5205,200.00,0.00,9502.98,0.00,9002.68,199563.84,4500.67,21014.73,2200.16,0.00,3600.44,600.01,0.00,0.00,200.00,4400.66,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
4.8175,0.00,0.00,8802.56,0.00,7601.91,200425.17,4550.69,18010.82,3800.48,0.00,2800.26,0.00,0.00,0.00,0.00,4000.55,0.00,0.00,150.00,200.00,0.00,0.00,0.00,33.33,0.00
5.1146,0.00,0.00,10303.50,0.00,8402.34,187814.14,4450.66,17410.11,3200.34,0.00,3600.44,800.02,0.00,200.00,400.01,3900.52,0.00,0.00,150.00,200.00,0.00,0.00,0.00,0.00,0.00
5.4116,200.00,0.00,11804.60,0.00,6601.44,193687.85,4750.75,19212.31,3200.34,0.00,3000.30,400.01,0.00,0.00,200.00,3500.42,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
5.7086,0.00,0.00,8902.62,0.00,11204.16,185586.77,5050.85,15007.51,5400.98,0.00,2400.19,200.00,0.00,0.00,0.00,4150.59,0.00,0.00,150.00,400.01,0.00,0.00,0.00,16.67,0.00
6.0056,0.00,0.00,10403.57,0.00,8202.23,192674.98,5100.87,20013.36,2200.16,0.00,2800.26,200.00,0.00,0.00,0.00,4400.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00
6.3027,0.00,0.00,10203.43,0.00,8402.34,198702.56,4900.80,19212.31,2000.13,0.00,2200.16,200.00,0.00,0.00,0.00,3350.39,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5997,0.00,0.00,8802.56,0.00,6401.36,189940.56,5300.93,15007.51,3400.39,0.00,3800.49,400.01,0.00,0.00,400.01,3350.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.8967,0.00,0.00,10003.30,0.00,6601.44,191662.17,4100.56,19012.05,3200.34,0.00,3400.39,200.00,0.00,200.00,200.00,3950.54,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
7.1937,0.00,0.00,12104.83,0.00,9202.81,192877.55,4650.72,17009.65,4000.54,0.00,3000.30,400.01,0.00,0.00,200.00,3550.43,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
7.4908,0.00,200.00,8202.22,0.00,9002.68,192219.21,4900.80,16008.55,4200.59,0.00,2600.23,400.01,0.00,0.00,400.01,3600.45,0.00,0.00,50.00,400.01,0.00,0.00,0.00,16.67,0.00
7.7878,0.00,0.00,9102.73,0.00,7802.02,186649.79,5300.93,17410.11,2600.23,0.00,2400.19,200.00,0.00,0.00,400.01,3250.36,0.00,0.00,100.00,0.00,0.00,0.00,0.00,16.67,0.00
8.0848,0.00,0.00,9603.04,0.00,8402.34,196119.02,4050.55,22617.06,3400.39,0.00,3600.44,400.01,0.00,0.00,200.00,3200.35,0.00,0.00,100.00,600.01,0.00,0.00,0.00,16.67,0.00
8.3818,200.00,0.00,11003.99,0.00,8802.57,190750.71,4350.63,19813.09,3600.43,0.00,3400.39,0.00,0.00,0.00,0.00,3800.50,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
8.6789,0.00,200.00,11704.52,0.00,7201.72,195916.41,4600.70,18010.82,3600.43,0.00,3000.30,400.01,0.00,0.00,200.00,4100.58,0.00,0.00,100.00,400.01,0.00,0.00,0.00,0.00,0.00
8.9759,0.00,0.00,10003.30,0.00,11804.62,194852.73,4300.62,15207.71,2000.13,0.00,3400.39,600.01,0.00,0.00,0.00,3500.42,0.00,0.00,50.00,400.01,0.00,0.00,0.00,0.00,0.00
9.2729,0.00,0.00,10703.78,0.00,6201.27,190244.36,3750.47,23618.60,3600.43,0.00,2600.23,200.00,0.00,200.00,200.00,3500.42,0.00,0.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00
9.5699,0.00,0.00,9402.92,0.00,6201.27,187156.02,4400.64,18010.82,3200.34,0.00,2400.19,800.02,0.00,200.00,400.01,3050.32,200.00,0.00,0.00,800.02,0.00,0.00,0.00,0.00,0.00
9.8670,0.00,0.00,11904.68,0.00,9402.93,193130.76,3950.52,16609.20,3800.48,0.00,3000.30,600.01,0.00,0.00,0.00,3300.37,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
10.1640,600.01,0.00,11404.29,0.00,7001.62,189535.51,3800.48,19612.83,4600.71,0.00,4000.54,0.00,0.00,0.00,200.00,4050.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
10.4610,0.00,0.00,9302.85,0.00,7601.91,198803.88,4150.57,19612.83,3400.39,0.00,3200.35,200.00,0.00,0.00,200.00,3500.42,200.00,0.00,100.00,600.01,0.00,0.00,0.00,0.00,0.00
10.7580,200.00,0.00,11304.22,0.00,10403.59,195004.69,4050.55,14607.12,4800.77,0.00,2800.26,200.00,0.00,0.00,0.00,4200.61,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
11.0551,0.00,0.00,10203.43,0.00,4400.64,190396.26,4850.78,20213.63,2800.26,200.00,3000.30,400.01,0.00,0.00,400.01,3000.31,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
11.3521,0.00,0.00,9302.85,0.00,7001.62,190092.47,4750.75,17410.11,3600.43,0.00,1200.05,600.01,0.00,0.00,200.00,3600.45,0.00,0.00,100.00,400.01,0.00,0.00,0.00,33.33,0.00
11.6491,0.00,0.00,8602.44,0.00,8402.34,193130.76,3900.51,20013.36,2200.16,0.00,1600.09,400.01,0.00,0.00,200.00,3950.54,0.00,0.00,100.00,200.00,0.00,0.00,0.00,16.67,0.00
11.9461,0.00,0.00,10703.78,0.00,9202.81,192168.57,5450.99,14607.12,2600.23,0.00,3800.49,600.01,0.00,0.00,400.01,4250.62,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
12.2432,0.00,0.00,9703.11,0.00,7601.91,190801.35,4650.72,17610.34,5400.98,0.00,2400.19,200.00,0.00,0.00,0.00,3750.48,0.00,0.00,50.00,600.01,0.00,0.00,0.00,0.00,0.00
12.5402,0.00,0.00,10403.57,0.00,8002.12,190851.99,4450.66,13606.18,2400.19,0.00,3000.30,600.01,0.00,0.00,0.00,4550.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.8372,0.00,0.00,9102.73,0.00,6801.53,196068.37,4900.80,19012.05,4200.59,0.00,2400.19,600.01,0.00,0.00,0.00,3550.43,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
13.1342,0.00,200.00,10503.64,0.00,7201.72,192067.29,5000.83,15808.34,2600.23,0.00,3600.44,0.00,0.00,0.00,600.01,4000.55,0.00,0.00,50.00,400.01,200.00,0.00,0.00,0.00,0.00
13.4313,0.00,0.00,9502.98,0.00,7601.91,192472.41,4650.72,19612.83,2000.13,0.00,4400.65,200.00,0.00,200.00,400.01,4350.65,0.00,0.00,0.00,1400.07,0.00,0.00,0.00,0.00,0.00
13.7283,0.00,0.00,10103.37,0.00,8802.57,197284.08,4450.66,15808.34,4400.65,0.00,1800.11,600.01,0.00,0.00,400.01,3850.51,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
14.0253,0.00,0.00,10003.30,0.00,6601.44,191915.38,4450.66,15808.34,4200.59,200.00,2800.26,0.00,0.00,200.00,200.00,3650.46,0.00,0.00,100.00,0.00,0.00,0.00,0.00,16.67,0.00
14.3223,0.00,0.00,9102.73,0.00,9803.18,190446.90,5050.85,17610.34,3400.39,0.00,3400.39,0.00,0.00,0.00,0.00,3550.43,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
14.6194,0.00,0.00,10803.85,0.00,8802.57,192725.62,5501.01,18010.82,4000.54,0.00,3200.35,0.00,0.00,0.00,200.00,3550.43,0.00,0.00,50.00,0.00,0.00,0.00,0.00,33.33,0.00
14.9164,0.00,0.00,10603.71,0.00,8802.57,192117.93,3950.52,20013.36,4000.54,0.00,3000.30,400.01,0.00,0.00,0.00,3950.54,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
15.2134,0.00,200.00,10903.92,0.00,8202.23,186042.35,5200.90,18411.30,4200.59,0.00,3000.30,200.00,0.00,0.00,200.00,3500.42,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
15.5104,0.00,0.00,10303.50,0.00,7401.82,191105.16,3450.40,16408.98,3200.34,0.00,3200.35,600.01,0.00,0.00,200.00,2700.25,0.00,0.00,100.00,600.01,0.00,0.00,0.00,16.67,0.00
15.8075,0.00,200.00,11003.99,0.00,7601.91,198297.28,4350.63,21215.01,2800.26,0.00,3800.49,0.00,0.00,200.00,200.00,3650.46,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
16.1045,0.00,0.00,10003.30,0.00,11004.01,196929.49,4700.74,17410.11,4000.54,0.00,4000.54,400.01,0.00,0.00,0.00,3350.39,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
16.4015,0.00,0.00,11204.14,0.00,5801.12,199259.86,4300.62,14807.31,3400.39,0.00,3800.49,400.01,0.00,0.00,200.00,4550.71,0.00,0.00,250.00,200.00,0.00,0.00,0.00,33.33,200.00
16.6985,0.00,0.00,9402.92,0.00,7401.82,189282.35,4550.69,18611.55,3600.43,0.00,3600.44,600.01,0.00,0.00,400.01,2850.28,0.00,0.00,100.00,400.01,0.00,0.00,0.00,0.00,0.00
16.9956,200.00,400.01,11304.22,0.00,10803.87,196980.15,5450.99,17610.34,3000.30,0.00,3400.39,200.00,0.00,0.00,200.00,3450.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
17.2926,0.00,200.00,9903.24,0.00,5000.83,193586.56,4800.77,17410.11,4000.54,0.00,1400.07,400.01,0.00,0.00,0.00,4250.62,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.5896,200.00,0.00,9402.92,0.00,10603.72,191054.53,4850.78,16208.76,3800.48,0.00,4800.78,400.01,0.00,200.00,400.01,2700.25,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
17.8866,0.00,0.00,11804.60,0.00,8402.34,185434.92,4400.64,14406.92,3000.30,0.00,1800.11,200.00,0.00,0.00,400.01,3900.52,0.00,0.00,50.00,0.00,200.00,0.00,0.00,0.00,0.00
18.1837,0.00,0.00,8302.27,0.00,9002.68,200323.84,4750.75,15407.92,1800.11,0.00,4000.54,1000.03,0.00,0.00,200.00,3900.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00
18.4807,0.00,400.01,10803.85,0.00,9603.05,191510.27,3800.48,21014.73,3400.39,0.00,3000.30,400.01,0.00,0.00,0.00,4050.56,0.00,0.00,0.00,200.00,0.00,0.00,0.00,33.33,0.00
18.7777,0.00,0.00,10303.50,0.00,6601.44,195207.29,5250.92,20614.17,4200.59,0.00,2200.16,400.01,0.00,0.00,600.01,3700.47,0.00,0.00,0.00,200.00,200.00,0.00,0.00,0.00,0.00
19.0747,0.00,0.00,10503.64,0.00,7201.72,197942.65,4750.75,16609.20,3600.43,0.00,2400.19,400.01,0.00,0.00,0.00,3000.31,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
19.3718,0.00,0.00,9402.92,0.00,8202.23,193485.27,5200.90,15207.71,2800.26,0.00,1800.11,1000.03,0.00,0.00,200.00,3350.39,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
19.6688,0.00,0.00,8802.56,0.00,6801.53,195967.05,4950.82,17209.88,3800.48,0.00,3800.49,200.00,0.00,0.00,200.00,4400.66,0.00,0.00,200.00,200.00,0.00,0.00,0.00,16.67,0.00
19.9658,0.00,0.00,12304.99,0.00,7601.91,192219.21,4650.72,17610.34,2600.23,0.00,2400.19,200.00,0.00,0.00,400.01,3950.54,0.00,0.00,0.00,400.01,0.00,0.00,0.00,16.67,0.00
20.2628,0.00,0.00,11104.07,0.00,7201.72,193941.08,4600.70,15207.71,1800.11,0.00,3000.30,400.01,0.00,0.00,0.00,3600.45,200.00,0.00,100.00,200.00,0.00,0.00,0.00,33.33,0.00
20.5599,0.00,0.00,10603.71,0.00,8002.12,189383.62,4500.67,19212.31,2800.26,0.00,4200.60,200.00,0.00,0.00,0.00,4200.61,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
20.8569,200.00,0.00,12104.83,0.00,7001.62,197790.67,5200.90,14006.54,3000.30,0.00,4000.54,200.00,0.00,0.00,400.01,4200.61,0.00,0.00,50.00,600.01,0.00,0.00,0.00,0.00,0.00
21.1539,0.00,0.00,9502.98,0.00,7401.82,204631.19,4650.72,16809.42,2800.26,0.00,2400.19,200.00,0.00,0.00,0.00,3850.51,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
