D:\0 ICPMS Data\User Data\M Beeskow\21_08_24_Qtz.b\21_08_24_a27.d
Intensity Vs Time,CPS
Acquired      : 24/08/2021 12:37:06 using Batch 21_08_24_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3448,350.00,0.00,100.00,223803.88,6801.59,65748.44,0.00,100.00,15208.09,8102.30,350.00,200.00,1300.06,100.00,300.00
0.6448,300.00,0.00,100.00,224514.67,7702.04,70068.57,150.00,100.00,15358.26,9052.87,250.00,250.00,1300.06,0.00,350.00
0.9448,400.01,50.00,50.00,261930.86,6801.59,69968.08,200.00,250.00,15808.75,7802.13,350.00,200.00,1850.12,150.00,350.00
1.2449,100.00,100.00,150.00,259385.99,4900.83,67858.11,200.00,200.00,15408.31,8202.36,400.01,200.00,1450.07,150.00,550.01
1.5449,450.01,0.00,150.00,234672.71,6501.45,64643.51,150.00,200.00,15508.42,8002.24,150.00,200.00,1500.08,0.00,750.02
1.8449,300.00,0.00,100.00,212232.86,7101.73,67657.18,100.00,200.00,12805.74,8802.72,200.00,50.00,1550.09,0.00,250.00
2.1449,200.00,0.00,250.00,279145.75,8302.37,71073.43,250.00,200.00,13856.72,8252.39,500.01,250.00,1250.06,100.00,350.00
2.4449,300.00,0.00,100.00,261930.86,7101.73,70671.48,100.00,150.00,15158.04,8002.24,350.00,450.01,1050.04,50.00,150.00
2.7449,300.00,0.00,50.00,238432.96,4100.58,66853.47,150.00,50.00,13606.48,8102.30,450.01,0.00,900.03,200.00,600.01
3.0450,500.01,0.00,100.00,246363.11,4400.67,72480.36,50.00,0.00,15708.64,8452.50,200.00,150.00,1100.04,50.00,200.00
3.3450,350.00,0.00,100.00,263152.54,3800.50,65547.54,100.00,100.00,14407.26,8702.66,400.01,100.00,1300.06,50.00,500.01
3.6450,150.00,150.00,150.00,267632.98,6001.24,70269.53,100.00,50.00,15158.04,9152.94,800.02,300.00,1850.12,150.00,400.01
3.9450,200.00,0.00,50.00,235485.64,7601.99,66652.55,50.00,100.00,14006.87,8252.39,150.00,350.00,1150.05,150.00,300.00
4.2450,200.00,0.00,150.00,231421.36,7401.88,65748.44,100.00,0.00,14657.52,7251.84,200.00,150.00,1100.04,0.00,200.00
4.5450,350.00,150.00,250.00,229186.50,3200.35,68862.82,100.00,200.00,14757.62,8352.45,400.01,300.00,1450.07,150.00,400.01
4.8450,400.01,50.00,50.00,209899.46,6701.54,72379.86,200.00,100.00,14106.97,9052.87,200.00,150.00,1500.08,150.00,500.01
5.1451,400.01,0.00,100.00,236298.66,6201.32,70068.57,50.00,100.00,15858.80,9002.84,200.00,200.00,1700.10,50.00,250.00
5.4451,350.00,50.00,200.00,223905.42,6601.50,65547.54,250.00,200.00,14807.67,8352.45,250.00,300.00,1750.11,100.00,350.00
5.7451,200.00,0.00,50.00,219133.76,6101.28,68259.99,50.00,100.00,16059.03,7952.22,350.00,200.00,1000.04,50.00,250.00
6.0451,500.01,0.00,50.00,247481.81,7301.83,64844.39,200.00,150.00,15007.88,9052.87,100.00,150.00,1550.09,50.00,300.00
