D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a24.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 13:06:06 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
0.2780,500.01,0.00,17510.50,0.00,1000.03,8502.49,1500.08,1500.08,500.01,36044.96,0.00,5501.05,0.00,0.00,0.00,2500.22,70674.59,1000.04,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.4580,0.00,0.00,22517.37,0.00,0.00,9503.11,1500.08,1250.05,2000.14,34541.29,0.00,5000.87,0.00,0.00,0.00,3500.43,68664.82,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6381,0.00,0.00,15508.24,0.00,0.00,9503.11,1000.03,750.02,500.01,44568.72,0.00,5501.05,500.01,0.00,500.01,3500.43,69167.24,500.01,0.00,500.01,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.8181,1000.03,0.00,20514.42,0.00,0.00,9503.11,1500.08,1000.03,750.02,34040.10,500.01,3000.31,0.00,0.00,0.00,3500.43,63641.61,500.01,0.00,0.00,0.00,500.01,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9982,1000.03,0.00,18011.11,0.00,500.01,11504.55,2500.22,1500.08,1750.11,40556.91,500.01,5501.05,0.00,0.00,0.00,1000.04,70172.12,1500.08,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.08,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.1782,500.01,500.01,22016.60,0.00,2000.14,11504.55,2500.22,2500.22,500.01,42562.68,0.00,5501.05,0.00,0.00,0.00,1500.08,53600.48,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.3583,2000.14,0.00,23018.15,0.00,0.00,8502.49,0.00,1500.08,2000.14,28027.19,500.01,7001.70,0.00,0.00,0.00,3000.32,67157.67,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5383,1500.08,0.00,16008.78,0.00,0.00,13005.82,2000.14,2250.17,1000.03,30031.22,0.00,4500.70,0.00,0.00,500.01,4000.56,67157.67,3000.32,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.7183,1500.08,0.00,20514.42,500.01,1000.03,11004.17,3000.31,750.02,1750.11,38551.43,0.00,4000.56,0.00,0.00,0.00,500.01,84750.94,1000.04,0.00,0.00,0.00,500.01,500.01,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8984,2000.14,0.00,18011.11,0.00,2000.14,8002.20,2000.14,1250.05,500.01,26023.44,0.00,7001.70,500.01,0.00,0.00,1500.08,59624.31,1500.08,0.00,0.00,0.00,0.00,250.00,500.01,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.0784,0.00,0.00,12004.94,0.00,0.00,11004.17,500.01,500.01,750.02,33037.78,0.00,4500.70,0.00,0.00,0.00,4000.56,56612.08,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.2585,1000.03,0.00,22517.37,0.00,1000.03,9503.11,1000.03,2000.14,250.00,41559.76,500.01,4000.56,0.00,0.00,0.00,4500.71,64646.10,1000.04,0.00,0.00,500.01,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.4385,0.00,0.00,16008.78,0.00,0.00,12004.96,1000.03,2750.26,2000.14,31033.33,0.00,2500.22,0.00,0.00,0.00,2500.22,67660.03,1000.04,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,500.01,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.6186,0.00,0.00,17510.50,0.00,0.00,13506.28,2500.22,3000.31,1500.08,39052.77,0.00,3000.31,0.00,0.00,0.00,1500.08,58118.11,500.01,0.00,0.00,0.00,500.01,750.02,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.7986,500.01,0.00,15007.72,0.00,500.01,11004.17,2000.14,750.02,500.01,33538.93,0.00,5000.87,0.00,0.00,0.00,1500.08,64143.84,500.01,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.9786,1500.08,0.00,23018.15,0.00,1000.03,13005.82,1500.08,1250.05,2000.14,41058.33,0.00,3000.31,0.00,0.00,0.00,3000.32,65650.68,500.01,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.1587,0.00,0.00,20514.42,0.00,1000.03,7001.69,0.00,2000.14,1500.08,36546.22,1000.03,4500.70,0.00,0.00,0.00,1000.04,70674.59,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.3387,500.01,500.01,15508.24,0.00,1500.08,8002.20,4000.55,3000.31,1500.08,40055.52,0.00,3000.31,500.01,0.00,0.00,1500.08,62637.18,1000.04,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.5188,500.01,0.00,24520.59,0.00,500.01,10003.44,2500.22,2250.17,1000.03,44067.18,0.00,5501.05,1500.08,0.00,0.00,3500.43,63139.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
