D:\0 ICPMS Data\User Data\M Beeskow\21_08_24_Qtz.b\21_08_24_a20.d
Intensity Vs Time,CPS
Acquired      : 24/08/2021 12:14:32 using Batch 21_08_24_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3447,200.00,0.00,50.00,174538.04,2300.18,65447.09,50.00,50.00,10754.05,9453.13,100.00,0.00,800.02,50.00,150.00
0.6447,300.00,0.00,0.00,179092.75,2500.21,63940.41,150.00,0.00,10854.12,9202.97,0.00,0.00,1150.05,0.00,0.00
0.9447,150.00,100.00,100.00,177371.91,1800.11,63639.08,100.00,150.00,12655.61,9052.87,50.00,0.00,800.02,0.00,150.00
1.2447,300.00,0.00,150.00,183446.36,1700.10,62835.60,50.00,150.00,12355.34,9002.84,50.00,0.00,850.03,0.00,50.00
1.5447,100.00,50.00,150.00,175853.70,1800.11,67054.39,100.00,150.00,12155.17,10704.02,50.00,0.00,1300.06,0.00,200.00
1.8447,50.00,0.00,100.00,170895.29,2200.17,66150.26,50.00,100.00,13106.01,9553.20,0.00,0.00,1050.04,0.00,200.00
2.1447,200.00,0.00,100.00,174841.64,2300.18,65145.74,100.00,150.00,12205.21,9453.13,50.00,0.00,750.02,0.00,200.00
2.4448,100.00,0.00,150.00,169782.40,2200.17,61228.76,0.00,100.00,11654.75,10103.58,100.00,50.00,1450.07,100.00,600.01
2.7448,300.00,0.00,50.00,175954.91,1900.12,65346.64,150.00,100.00,13656.53,9953.47,50.00,0.00,1200.05,0.00,150.00
3.0448,250.00,0.00,50.00,179902.62,2400.20,62032.15,100.00,150.00,11654.75,9253.00,0.00,0.00,1650.10,50.00,50.00
3.3448,350.00,0.00,0.00,176663.40,2400.20,61831.30,100.00,150.00,13156.06,9052.87,0.00,50.00,1050.04,50.00,200.00
3.6448,100.00,0.00,50.00,183851.40,1100.04,61730.87,200.00,100.00,12155.17,9553.20,0.00,0.00,1150.05,0.00,200.00
3.9448,500.01,0.00,100.00,178586.60,2300.18,62936.03,50.00,100.00,11654.75,10153.61,150.00,0.00,1250.06,50.00,200.00
