D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a25.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 13:11:09 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
0.2774,1500.08,0.00,16509.34,0.00,1500.08,12004.96,2500.22,1250.05,1250.05,38551.43,1000.03,1000.03,500.01,0.00,0.00,4000.56,66152.99,1000.04,0.00,0.00,0.00,0.00,1500.08,500.01,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.4575,1000.03,0.00,17510.50,0.00,0.00,13005.82,2000.14,1000.03,2750.26,28528.17,0.00,2500.22,0.00,0.00,0.00,1000.04,57616.09,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6375,0.00,0.00,25021.44,0.00,1000.03,12505.38,2000.14,1750.11,2750.26,39052.77,0.00,4500.70,0.00,0.00,0.00,1000.04,57616.09,1500.08,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.8176,500.01,500.01,22016.60,0.00,500.01,13506.28,2500.22,2000.14,1250.05,31534.42,500.01,4000.56,0.00,0.00,0.00,1500.08,66655.32,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9976,0.00,0.00,18511.74,0.00,1000.03,11004.17,2500.22,1250.05,500.01,34541.29,1000.03,4000.56,500.01,0.00,0.00,2500.22,54102.37,500.01,0.00,0.00,0.00,0.00,250.00,500.01,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.1777,500.01,0.00,21015.13,0.00,0.00,5501.04,3000.31,500.01,1000.03,43565.66,0.00,6001.25,0.00,0.00,0.00,1500.08,62134.99,1000.04,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.3577,500.01,0.00,22016.60,0.00,0.00,10503.80,1500.08,2000.14,1000.03,28528.17,1000.03,5000.87,0.00,0.00,0.00,3000.32,75700.27,1000.04,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5378,3000.31,0.00,12505.36,0.00,500.01,8002.20,1000.03,1750.11,1250.05,37548.79,500.01,3500.43,0.00,0.00,0.00,2000.14,67157.67,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.7178,1000.03,0.00,25021.44,0.00,1000.03,8502.49,2500.22,1750.11,1000.03,36044.96,0.00,3000.31,500.01,0.00,0.00,5000.88,72684.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8978,1500.08,0.00,23018.15,0.00,500.01,12505.38,3500.42,2000.14,1250.05,33037.78,500.01,3500.43,0.00,0.00,0.00,5000.88,70674.59,500.01,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
