Li;0.895
Be;0.028
B;0.94
Mg;34.7
P;13.0
K;29.0
Sc;0.026
Ti;2.65
V;0.228
Cr;0.4
Mn;0.609
Fe;16.0
Co;0.051
Ni;0.435
Cu;0.7
Zn;1.33
Ga;0.5
Ge;0.283
As;0.2
Se;0.22
Rb;0.104
Sr;41.72
Y;0.0288
Zr;0.0951
Nb;0.0194
Mo;0.0879
Rh;0.98
Pd;1.77
Ag;0.048
Cd;0.036
In;0.0302
Sn;1.18
Sb;0.076
Cs;0.027
Ba;2.31
La;0.0298
Ce;0.0292
Pr;0.015
Nd;0.0227
Sm;0.0164
Eu;0.0146
Gd;0.0162
Tb;0.0145
Dy;0.0173
Ho;0.0169
Er;0.0157
Tm;0.0144
Yb;0.0171
Lu;0.0145
Hf;0.0154
Ta;0.0299
W;0.043
Re;0.0036
Pt;1.77
Au;0.189
Tl;0.0081
Pb;1.85
Bi;0.021
Th;0.0252
U;0.0721
