Select Mode	选择模式
Standard Files	标准文件
Sample Files	样本文件
ICP-MS file setup	文件设置
Define ICP-MS	定义ICP-MS
Project	项目
Inclusions	包含分析
Add	添加
Isotope	同位素
Set salinity	设置盐度
Interval setup	时间窗口设置
Remove interval	移除时间窗口
Remove sample intervals	移除样本时间窗口
Remove inclusion intervals	移除包含时间窗口
Remove matrix intervals	移除矩阵时间窗口
Update	更新
Error course	错误过程
Parallelism	并行性
No selection	未选择
Background interval	背景时间窗口
Sample interval	样本时间窗口
Matrix interval	矩阵时间窗口
Inclusion interval	包含时间窗口
Standard file	标准文件
Sample file	样本文件
Confirm all	全部确认
Measured isotopes	测量的同位素
Display options	显示选项
Analysis mode	分析模式
Show all	显示全部
Hide all	隐藏全部
Show only RAW	仅显示RAW
Hide only RAW	隐藏RAW
Time series view	时间序列视图
Time ratios view	时间比率视图
Spectral data view	光谱数据视图
Box plot data view	箱形图数据视图
Quick analysis	快速分析
Stepwise analysis	分步分析
Copy	复制
Delete	删除
Rename	重命名
Data analysis	数据分析
Interval options	时间窗口选项
Reference isotope	参考同位素
Additional analysis	额外分析
Time-Signal Diagram	时间-信号图
New Project	新项目
Load Project	加载项目
Save Project	保存项目
General Settings	常规设置
About	关于
Python path	路径
PySILLS path	路径
Before	上一步
Previous	上一页
Next	下一页
Quit	退出
Manager	管理员
Setup	设置
Select ICP-MS	选择 ICP-MS
Mineral Analysis	矿物分析
Settings	设置
Results	结果
Extras	附加功能
Mass balance	质量平衡
Charge balance	电荷平衡
Fluid Inclusions	流体包含物
Geometric approach	几何方法
External quantification support	外部定量支持
Custom data	自定义数据
Melt Inclusions	融化包含物
Development	开发
Additional Information	额外信息
Citation	引用 PySILLS
Matrix Settings	矩阵设置
References	参考文献
Project Information	项目信息
Calculation Accuracy	计算精度
Sensitivity Drift	灵敏度漂移
Limit of Detection	检测限
Default ICP-MS	默认 ICP-MS
Offset Automatic Interval Detection	偏移自动时间窗口检测
Colormap	色彩图
