D:\0 ICPMS Data\User Data\M Beeskow\21_08_24_Qtz.b\21_08_24_a22.d
Intensity Vs Time,CPS
Acquired      : 24/08/2021 12:19:03 using Batch 21_08_24_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3446,450.01,50.00,50.00,167556.88,1800.11,61128.34,50.00,150.00,12005.04,10403.79,50.00,0.00,650.01,0.00,100.00
0.6446,250.00,0.00,0.00,171401.17,2000.14,61530.03,50.00,350.00,14507.37,8752.69,50.00,0.00,1500.08,0.00,200.00
0.9446,300.00,0.00,0.00,177371.91,1400.07,59923.33,250.00,350.00,12655.61,7351.90,50.00,0.00,1050.04,0.00,300.00
1.2446,100.00,0.00,50.00,174234.44,1200.05,55606.21,250.00,100.00,11154.36,8052.27,50.00,0.00,1100.04,0.00,250.00
1.5447,100.00,0.00,0.00,174335.64,1200.05,59220.46,150.00,250.00,12705.65,8452.50,50.00,0.00,1250.06,0.00,250.00
1.8447,250.00,0.00,100.00,173121.30,2000.14,57714.42,100.00,0.00,11554.67,9503.17,50.00,0.00,1000.04,100.00,300.00
2.1447,50.00,50.00,0.00,177979.25,2400.20,56810.86,0.00,200.00,12155.17,9102.90,0.00,0.00,750.02,0.00,250.00
2.4447,250.00,0.00,50.00,173222.50,1000.03,58015.61,0.00,100.00,12705.65,9152.94,50.00,50.00,700.02,100.00,200.00
2.7447,100.00,0.00,50.00,173526.07,2100.15,58718.43,50.00,250.00,12205.21,8802.72,0.00,0.00,1000.04,0.00,350.00
3.0447,250.00,0.00,0.00,173526.07,1500.08,59923.33,50.00,50.00,11904.96,10003.51,100.00,0.00,1150.05,0.00,200.00
3.3447,100.00,0.00,50.00,180712.55,1500.08,61630.45,50.00,50.00,12005.04,7401.92,0.00,0.00,850.03,0.00,400.01
3.6448,100.00,0.00,100.00,174538.04,1400.07,57915.21,0.00,150.00,12355.34,8002.24,0.00,0.00,1050.04,0.00,350.00
3.9448,150.00,0.00,50.00,170187.07,2200.17,60827.08,50.00,50.00,13606.48,8552.56,50.00,0.00,1150.05,0.00,150.00
4.2448,100.00,0.00,0.00,172412.99,1800.11,57011.65,100.00,50.00,12855.78,8552.56,0.00,0.00,900.03,0.00,50.00
4.5448,200.00,0.00,50.00,177371.91,800.02,62433.87,150.00,100.00,12355.34,8502.53,100.00,0.00,400.01,100.00,200.00
4.8448,250.00,0.00,100.00,180206.34,1400.07,56509.69,50.00,50.00,12455.43,7702.08,150.00,0.00,750.02,50.00,300.00
