D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a23.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 13:01:03 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
0.2778,0.00,0.00,22016.60,0.00,1000.03,15007.75,3000.31,1500.08,1250.05,40055.52,0.00,4500.70,0.00,0.00,0.00,1000.04,71679.58,2000.14,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.4579,1000.03,0.00,23018.15,0.00,500.01,10503.80,1000.03,2000.14,1500.08,26524.35,0.00,2500.22,0.00,0.00,0.00,2000.14,78716.52,1500.08,0.00,0.00,500.01,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6379,1000.03,0.00,27025.01,0.00,0.00,12004.96,1000.03,1250.05,2000.14,38551.43,1000.03,4500.70,500.01,0.00,0.00,3000.32,56612.08,1500.08,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.8180,0.00,0.00,19012.38,0.00,1000.03,10503.80,2000.14,1250.05,2000.14,37047.49,500.01,2000.14,0.00,0.00,0.00,5501.06,60126.41,1000.04,0.00,500.01,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9980,500.01,0.00,23518.95,500.01,0.00,13005.82,1500.08,1000.03,1000.03,30532.27,0.00,4500.70,0.00,0.00,0.00,2000.14,62637.18,2000.14,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.1781,3000.31,0.00,14006.72,0.00,0.00,12004.96,500.01,1750.11,1000.03,37548.79,0.00,5000.87,500.01,0.00,0.00,2500.22,68664.82,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,500.01,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.3581,2000.14,0.00,26023.19,0.00,500.01,9002.79,1500.08,1750.11,250.00,45070.27,500.01,3000.31,0.00,0.00,0.00,2000.14,63641.61,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5382,0.00,0.00,16509.34,0.00,500.01,9503.11,1500.08,1750.11,1750.11,39554.13,1000.03,2000.14,0.00,0.00,0.00,2000.14,55106.20,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.7182,1000.03,0.00,23018.15,0.00,0.00,11504.55,500.01,2750.26,2250.17,39052.77,0.00,1500.08,500.01,0.00,0.00,2000.14,63641.61,1500.08,0.00,500.01,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8982,500.01,0.00,21515.86,0.00,500.01,11004.17,1500.08,1000.03,750.02,25021.67,0.00,3500.43,0.00,0.00,0.00,3500.43,59122.23,0.00,0.00,0.00,0.00,500.01,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
