Ag;22.00
Al;5372.00
As;35.70
Au;4.77
B;34.30
Ba;39.30
Be;37.50
Bi;30.20
Ca;85048.81
Cd;28.10
Ce;38.40
Cl;142.00
Co;35.50
Cr;36.40
Cs;42.70
Cu;37.80
Dy;35.50
Er;38.00
Eu;35.60
F;80.00
Fe;51.00
Ga;36.90
Gd;37.30
Ge;36.10
H;11.75
Hf;36.70
Ho;38.30
In;38.90
Ir;0.00
K;62.30
La;36.00
Li;40.20
Lu;37.00
Mg;68.00
Mn;38.70
Mo;37.40
Na;50817.70
Nb;38.90
Nd;35.50
Ni;38.80
P;46.60
Pb;38.57
Pd;1.05
Pr;37.90
Pt;2.51
Rb;31.40
Re;6.63
Rh;0.91
S;377.00
Sb;34.70
Sc;39.90
Se;16.30
Si;337021.87
Sm;37.70
Sn;38.60
Sr;78.40
Ta;37.60
Tb;37.60
Th;37.79
Ti;44.00
Tl;14.90
Tm;36.80
U;37.38
V;38.80
W;38.00
Y;38.30
Yb;39.20
Zn;39.10
Zr;37.90
