C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16may17.b\16may17_a17.d
Intensity Vs Time,CPS
Acquired      : 17/05/2016 12:07:49 using Batch PAM_FI_16may17.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
0.3622,0.00,0.00,6901.57,0.00,5601.04,109950.00,3900.51,13005.64,1400.07,0.00,2200.16,400.01,0.00,0.00,0.00,3150.34,0.00,0.00,100.00,400.01,0.00,0.00,0.00,16.67,0.00
0.6592,0.00,0.00,8202.22,0.00,5000.83,110352.93,3350.37,10003.34,2200.16,0.00,2800.26,400.01,0.00,0.00,0.00,4000.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9562,0.00,0.00,7701.96,0.00,6201.27,103403.86,3900.51,10603.75,1800.11,0.00,2400.19,200.00,0.00,0.00,200.00,2250.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.2533,0.00,0.00,7501.86,0.00,4800.76,110554.41,3750.47,14206.73,1800.11,0.00,2400.19,200.00,0.00,0.00,0.00,3150.34,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
1.5503,0.00,0.00,9102.73,0.00,4000.53,108086.58,3800.48,15608.13,1000.03,0.00,3000.30,0.00,200.00,0.00,200.00,3800.50,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
1.8473,0.00,0.00,8302.27,0.00,6801.53,105166.00,3250.35,11404.34,3200.34,0.00,3600.44,0.00,0.00,0.00,200.00,3200.35,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
2.1443,0.00,0.00,7601.91,0.00,6601.44,106424.80,4150.57,13205.82,2600.23,0.00,1600.09,200.00,0.00,0.00,200.00,3100.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.4413,0.00,0.00,8002.11,0.00,4400.64,112468.49,3200.34,11604.49,1800.11,0.00,2400.19,200.00,0.00,0.00,0.00,3000.31,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.7384,0.00,0.00,9502.98,0.00,4600.70,107583.00,3400.38,10603.75,2000.13,0.00,2400.19,400.01,0.00,0.00,0.00,2900.29,0.00,0.00,100.00,600.01,0.00,0.00,0.00,0.00,0.00
3.0354,0.00,0.00,7902.06,0.00,6801.53,105115.65,4000.53,11404.34,2200.16,0.00,3800.49,200.00,0.00,0.00,0.00,3150.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.3324,0.00,0.00,6801.53,0.00,5801.12,106424.80,3950.52,12405.13,2000.13,0.00,2600.23,0.00,0.00,0.00,0.00,2600.23,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
3.6294,0.00,0.00,9002.67,0.00,4200.58,106223.39,3050.31,10803.89,1400.07,0.00,4000.54,200.00,0.00,0.00,200.00,2450.21,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
3.9265,0.00,0.00,8402.33,0.00,4800.76,109748.54,2350.18,11004.04,3200.34,0.00,3000.30,0.00,0.00,200.00,0.00,3500.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.2235,0.00,0.00,9402.92,0.00,3800.48,107935.50,4100.56,10003.34,1600.09,0.00,2400.19,400.01,0.00,0.00,400.01,3050.32,0.00,0.00,100.00,200.00,0.00,0.00,0.00,16.67,0.00
4.5205,0.00,0.00,8102.17,0.00,4400.64,103152.14,2800.26,11604.49,3000.30,0.00,2200.16,0.00,0.00,0.00,400.01,2650.24,0.00,0.00,0.00,400.01,0.00,0.00,200.00,0.00,0.00
4.8175,0.00,0.00,8602.44,0.00,7201.72,105568.81,4650.72,10603.75,3200.34,0.00,2000.14,600.01,0.00,0.00,0.00,2800.27,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
5.1146,0.00,0.00,7701.96,0.00,5400.97,113224.13,4050.55,13005.64,3200.34,0.00,2600.23,0.00,0.00,0.00,0.00,2500.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.4116,0.00,0.00,9502.98,0.00,4800.76,109144.17,2950.29,13005.64,1600.09,0.00,1800.11,200.00,0.00,0.00,200.00,2550.22,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
