D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a13.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 11:32:32 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
0.2781,1500.08,0.00,20514.42,0.00,500.01,9002.79,2000.14,1250.05,1000.03,32536.64,500.01,2000.14,0.00,0.00,0.00,3500.43,66655.32,1000.04,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.4582,0.00,0.00,23518.95,0.00,1000.03,10503.80,3000.31,750.02,1000.03,33037.78,500.01,4000.56,0.00,0.00,0.00,2000.14,70172.12,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6382,1000.03,0.00,18511.74,0.00,500.01,10503.80,4500.70,3000.31,500.01,40556.91,500.01,1500.08,0.00,0.00,0.00,3000.32,74694.99,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.8183,1000.03,500.01,15007.72,0.00,500.01,13506.28,2500.22,2000.14,1250.05,35042.50,500.01,5000.87,0.00,0.00,0.00,3500.43,67660.03,1500.08,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9983,500.01,0.00,25021.44,0.00,1500.08,10503.80,1500.08,2000.14,750.02,39052.77,500.01,6001.25,0.00,0.00,0.00,2500.22,74694.99,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.1783,1500.08,500.01,20514.42,0.00,0.00,8002.20,2500.22,1000.03,1000.03,36044.96,0.00,4000.56,0.00,0.00,0.00,3000.32,55106.20,1500.08,0.00,0.00,0.00,500.01,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.3584,2000.14,0.00,18511.74,0.00,1000.03,15508.27,2000.14,1500.08,1500.08,48079.96,500.01,8502.51,0.00,0.00,0.00,2500.22,70172.12,1500.08,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5384,1000.03,0.00,19012.38,0.00,0.00,14006.75,3500.42,1750.11,2750.26,37548.79,500.01,4500.70,500.01,0.00,0.00,500.01,68162.41,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.7185,0.00,0.00,17510.50,0.00,0.00,12505.38,2500.22,1500.08,1500.08,39052.77,0.00,4500.70,0.00,0.00,0.00,2500.22,60628.53,500.01,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8985,1000.03,0.00,27025.01,0.00,0.00,10003.44,2000.14,1750.11,1000.03,34040.10,500.01,5501.05,0.00,0.00,0.00,2000.14,75197.62,500.01,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.0786,0.00,0.00,13506.25,0.00,0.00,13005.82,1500.08,1000.03,1750.11,41559.76,500.01,3500.43,0.00,0.00,0.00,2500.22,71177.08,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.2586,0.00,0.00,19513.04,0.00,0.00,12004.96,1500.08,2500.22,0.00,47076.66,0.00,3500.43,0.00,0.00,0.00,3500.43,79219.29,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.4387,500.01,0.00,17009.91,0.00,1500.08,13005.82,2000.14,2750.26,1000.03,35543.72,0.00,3500.43,0.00,0.00,0.00,1500.08,65650.68,1500.08,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.6187,500.01,0.00,20514.42,0.00,0.00,15508.27,1500.08,1000.03,1500.08,33037.78,500.01,3500.43,0.00,0.00,0.00,1000.04,64143.84,2500.22,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.7987,500.01,0.00,16008.78,0.00,0.00,7001.69,4000.55,1500.08,750.02,37047.49,0.00,4500.70,0.00,0.00,0.00,2000.14,77208.32,1500.08,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.9788,1000.03,0.00,16509.34,0.00,0.00,5000.86,1500.08,1000.03,2750.26,45070.27,0.00,3000.31,0.00,0.00,0.00,3500.43,74694.99,500.01,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.1588,0.00,0.00,19012.38,0.00,0.00,7001.69,4500.70,1750.11,750.02,41559.76,1000.03,4500.70,0.00,0.00,0.00,3000.32,70172.12,3500.43,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.3389,1000.03,500.01,23518.95,0.00,1000.03,10003.44,2000.14,1500.08,1750.11,37047.49,0.00,6001.25,0.00,0.00,0.00,2500.22,70172.12,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.5189,500.01,0.00,22016.60,0.00,500.01,10003.44,2000.14,1000.03,1250.05,31534.42,1000.03,5501.05,0.00,0.00,0.00,1000.04,65148.38,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.6990,1500.08,0.00,18011.11,0.00,500.01,10503.80,1000.03,1000.03,1000.03,40055.52,0.00,3000.31,0.00,0.00,0.00,1500.08,82739.18,1000.04,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.8790,2000.14,0.00,19012.38,0.00,0.00,12505.38,1500.08,2500.22,1000.03,42562.68,0.00,6001.25,0.00,0.00,0.00,2000.14,79219.29,2000.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.0591,2000.14,0.00,23518.95,0.00,0.00,10503.80,2500.22,2000.14,750.02,29029.17,1000.03,4500.70,0.00,0.00,0.00,1500.08,68162.41,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.2391,1000.03,0.00,23018.15,0.00,0.00,12004.96,1500.08,2250.17,750.02,26524.35,0.00,7001.70,0.00,0.00,0.00,2500.22,71679.58,1500.08,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.4191,500.01,0.00,17009.91,0.00,0.00,11504.55,2000.14,1750.11,1750.11,28528.17,0.00,4500.70,0.00,0.00,0.00,5501.06,66655.32,1000.04,0.00,0.00,500.01,0.00,500.01,500.01,0.00,0.00,0.00,0.00,0.00,2000.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
