Acquisition date,24/08/21,,,,,,,,,,,,,,
Acquisition time,10:56:04,,,,,,,,,,,,,,
Time,Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3458,100,0,0,193170.69,2100.15,79919.23,100,50,12755.69,12005.05,50,0,1400.07,50,700.02
0.6458,100,0,50,205030.93,1100.04,70570.99,0,150,12655.61,11354.52,50,0,1300.06,0,450.01
0.9458,250,0,0,199758.53,1600.09,76601.42,150,50,14257.12,11204.4,50,0,1500.08,50,800.02
1.2458,500.01,0,50,207363.57,1600.09,74792.03,200,0,12355.34,10704.02,50,0,900.03,150,700.02
1.5458,300,0,100,194994.73,2600.23,74389.97,0,200,13406.29,11904.97,0,0,1400.07,0,750.02
1.8458,250,0,100,201988.94,1900.12,75495.65,200,250,14857.73,11754.84,150,0,1150.05,200,600.01
2.1459,500.01,0,100,199150.31,1800.11,73083.37,0,50,14106.97,12005.05,50,50,1200.05,100,400.01
2.4459,450.01,0,50,211319.75,1600.09,72379.86,0,0,13956.82,11204.4,50,0,1550.09,0,350
2.7459,300,0,200,197325.76,2000.14,76601.42,150,50,13206.11,9653.27,100,50,1650.1,150,850.03
3.0459,350,0,50,206247.92,1600.09,78511.58,200,50,14907.78,10954.21,0,0,1650.1,50,800.02
3.3459,150,0,100,207667.85,800.02,68963.3,50,300,14607.47,11704.8,50,0,1450.07,150,650.02
3.6459,100,0,200,202293.12,1900.12,74892.55,50,100,14607.47,10053.54,0,0,1450.07,50,600.01
3.9459,200,0,100,201583.39,1500.08,75194.1,350,250,14457.32,10553.9,100,0,1600.09,0,400.01
4.246,400.01,0,150,196312.22,1800.11,74289.46,100,50,14907.78,10153.61,50,0,1250.06,250,250
4.546,250,0,0,207566.43,1400.07,79014.29,150,150,15107.99,11204.4,0,0,1350.06,150,250
4.846,400.01,0,250,210000.9,2400.2,71776.88,50,50,13806.67,11354.52,0,0,1150.05,50,750.02
5.146,200,0,50,201380.62,1800.11,69968.08,150,50,13456.34,10003.51,100,0,1400.07,0,550.01
5.446,400.01,0,50,203712.66,1700.1,76299.84,50,100,13306.2,10553.9,50,0,1300.06,0,400.01
5.746,250,0,0,198238,1300.06,75395.14,50,0,12355.34,11704.8,200,0,950.03,50,450.01
6.0461,250,0,100,203915.47,2300.18,73585.89,100,100,14207.06,11104.32,0,0,750.02,0,600.01
6.3461,300,0,100,198542.1,2500.21,71274.41,50,0,14957.83,10804.09,50,0,1350.06,50,1000.04
6.6461,400.01,0,50,203611.25,1900.12,77707.27,100,150,13706.58,10403.79,100,0,1250.06,300,650.02
6.9461,300,0,100,199961.28,2700.25,76299.84,50,100,14557.42,11904.97,0,0,1500.08,150,800.02
7.2461,150,0,50,203915.47,1600.09,73987.93,150,50,14106.97,11854.93,100,0,1150.05,0,600.01
7.5461,200,0,150,207059.3,1900.12,80321.44,200,50,12855.78,10303.72,50,0,1850.12,50,450.01
7.8461,450.01,0,100,204828.13,1700.1,77707.27,150,0,13706.58,10553.9,100,0,1750.11,0,650.02
8.1462,250,0,50,201786.16,1900.12,73183.87,100,250,14407.26,11904.97,0,0,1200.05,50,400.01
8.4462,400.01,0,50,202901.48,1700.1,74691.52,0,100,14657.52,11004.24,0,0,1600.09,150,550.01
8.7462,100,0,200,189928.53,2500.21,73384.88,0,100,15158.04,10854.13,0,0,850.03,50,650.02
9.0462,350,0,50,198643.46,900.03,78109.42,50,50,12655.61,12655.61,50,0,1250.06,100,650.02
9.3462,400.01,0,150,196818.98,1700.1,75294.62,200,200,15258.15,11654.76,0,0,1200.05,250,600.01
9.6462,200,0,100,190637.7,2800.27,75294.62,150,100,14257.12,10653.98,50,0,1200.05,0,550.01
9.9462,150,0,150,198136.65,2100.15,73987.93,150,150,13356.24,10353.76,250,0,1650.1,50,500.01
10.2463,300,0,100,188206.42,2300.18,75194.1,50,100,16008.97,11154.36,200,0,1350.06,100,400.01
10.5463,200,0,50,204929.54,2500.21,76199.32,100,50,14607.47,11304.48,50,0,1650.1,50,600.01
10.8463,350,0,50,196514.93,1200.05,74591,300,200,12605.56,11955.01,0,0,1450.07,100,650.02
11.1463,200,50,100,202090.33,1700.1,75495.65,100,0,13456.34,10754.05,50,0,1400.07,50,800.02
11.4463,300,0,50,199555.79,2100.15,75797.22,0,50,13606.48,12055.09,50,0,1450.07,50,900.03
11.7463,400.01,0,200,197325.76,2800.27,76299.84,0,150,16059.03,10253.68,50,0,800.02,200,400.01
12.0464,350,0,50,200975.07,2200.17,74591,50,150,14157.01,12155.18,0,0,1150.05,0,350
12.3464,250,0,150,201684.78,2400.2,74691.52,100,150,14757.62,11454.6,50,0,1050.04,50,250
12.6464,150,0,50,209696.56,2200.17,71374.91,0,0,13406.29,10653.98,0,50,1300.06,150,850.03
12.9464,350,0,150,197832.54,2100.15,71676.39,200,150,13656.53,11304.48,50,0,1300.06,100,600.01
13.2464,150,0,0,196920.34,1200.05,71877.37,150,0,14157.01,11955.01,50,0,1400.07,100,700.02
13.5464,200,0,100,199657.15,1600.09,74088.44,150,200,13856.72,12005.05,100,0,1400.07,150,450.01
13.8464,200,0,300,199657.15,1900.12,72178.86,0,50,14507.37,10003.51,50,0,1800.11,400.01,600.01
14.1465,300,0,50,201076.46,2700.25,80321.44,50,450.01,12755.69,12255.26,50,0,1150.05,50,850.03
14.4465,250,0,300,204828.13,1300.06,72178.86,0,50,14006.87,10954.21,0,0,1100.04,150,400.01
14.7465,150,0,200,195602.78,2000.14,75596.18,50,0,14257.12,11654.76,50,0,1350.06,0,900.03
15.0465,250,0,50,188712.9,2100.15,73183.87,150,100,13356.24,10653.98,50,0,950.03,0,500.01
15.3465,200,0,200,199048.93,2000.14,77104.07,150,100,14307.16,11204.4,150,0,1250.06,50,600.01
15.6465,50,0,50,200366.8,1600.09,67355.79,200,250,13806.67,10954.21,0,0,1650.1,0,950.03
15.9465,200,0,350,202293.12,1900.12,76199.32,100,150,14807.67,10754.05,0,0,1100.04,50,400.01
16.2466,150,0,150,208682.18,2400.2,75998.27,100,50,14657.52,11704.8,50,0,1050.04,0,200
16.5466,300,0,0,203915.47,2100.15,70470.51,50,250,13055.97,11955.01,0,0,1600.09,100,450.01
16.8466,350,50,50,198440.72,2100.15,71475.4,50,100,14707.57,11955.01,50,0,1250.06,50,750.02
17.1466,500.01,0,0,200569.56,1400.07,71073.43,100,50,13206.11,11504.64,50,50,1100.04,200,600.01
17.4466,150,0,100,197629.83,1900.12,73485.39,100,150,14056.92,11404.56,100,0,1500.08,0,350
17.7466,100,0,50,196210.86,2300.18,71575.89,50,100,12405.39,11604.72,0,0,1150.05,0,650.02
18.0467,300,0,0,205233.76,2200.17,74188.95,150,100,14707.57,10854.13,50,50,900.03,200,900.03
18.3467,250,0,50,203915.47,2800.27,68360.46,100,100,14757.62,11104.32,100,0,1350.06,50,650.02
18.6467,150,0,100,198136.65,1500.08,74389.97,50,50,13906.77,10003.51,150,0,1200.05,50,250
