C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16may17.b\16may17_a06.d
Intensity Vs Time,CPS
Acquired      : 17/05/2016 10:29:28 using Batch PAM_FI_16may17.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
0.3622,0.00,0.00,5801.11,0.00,13806.31,129807.15,3450.40,16408.98,1200.05,0.00,1800.11,0.00,0.00,0.00,0.00,3200.35,0.00,0.00,0.00,600.01,0.00,0.00,0.00,0.00,0.00
0.6592,0.00,0.00,6001.19,0.00,9202.81,131269.75,3700.46,16609.20,3800.48,0.00,3600.44,600.01,0.00,0.00,0.00,3400.40,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9562,0.00,0.00,9502.98,0.00,10003.31,130160.18,4100.56,16008.55,2800.26,0.00,3000.30,400.01,0.00,0.00,0.00,4200.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.2533,0.00,0.00,4900.79,0.00,6801.53,135961.12,4150.57,15007.51,2000.13,0.00,2400.19,800.02,0.00,200.00,0.00,4100.58,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
1.5503,0.00,0.00,5901.15,0.00,8202.23,129353.27,3650.44,15207.71,3600.43,0.00,4200.60,400.01,0.00,0.00,0.00,3200.35,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
1.8473,0.00,0.00,8102.17,0.00,8402.34,132883.81,4400.64,16008.55,3400.39,0.00,2600.23,400.01,0.00,0.00,0.00,3500.42,0.00,0.00,0.00,600.01,0.00,0.00,0.00,0.00,0.00
2.1443,0.00,0.00,8102.17,0.00,5601.04,134800.74,5050.85,15007.51,2600.23,0.00,2800.26,0.00,0.00,0.00,0.00,3250.36,0.00,0.00,0.00,400.01,0.00,0.00,0.00,16.67,0.00
2.4413,0.00,0.00,7101.66,0.00,7001.62,131673.25,3650.44,13005.64,2200.16,0.00,3200.35,200.00,0.00,0.00,0.00,4200.61,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
2.7384,0.00,0.00,5901.15,0.00,6001.19,136314.28,3500.41,13806.36,1800.11,0.00,2600.23,400.01,0.00,0.00,0.00,4200.61,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
3.0354,0.00,0.00,7301.76,0.00,7201.72,133690.92,3500.41,17610.34,3200.34,0.00,3200.35,0.00,0.00,0.00,200.00,3550.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00
3.3324,0.00,0.00,8002.11,0.00,8202.23,131320.19,5250.92,17410.11,3600.43,0.00,2000.14,0.00,0.00,0.00,0.00,3300.37,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.6294,0.00,0.00,9402.92,0.00,5801.12,136314.28,3950.52,11604.49,2600.23,0.00,3200.35,0.00,0.00,0.00,0.00,3200.35,0.00,0.00,100.00,0.00,0.00,0.00,0.00,16.67,0.00
3.9265,0.00,0.00,6101.23,0.00,6801.53,130664.53,3800.48,14006.54,3200.34,0.00,3800.49,0.00,0.00,0.00,0.00,3850.51,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
4.2235,0.00,0.00,8102.17,0.00,6201.27,132480.29,3600.43,16208.76,4000.54,0.00,4600.71,200.00,0.00,0.00,400.01,3150.34,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.5205,0.00,0.00,8302.27,0.00,5000.83,132833.37,4400.64,13205.82,3600.43,0.00,1800.11,200.00,0.00,0.00,0.00,3000.31,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
4.8175,0.00,0.00,7501.86,0.00,6801.53,137727.06,4400.64,15207.71,2200.16,0.00,3400.39,200.00,0.00,0.00,0.00,3400.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
5.1146,0.00,0.00,7701.96,0.00,6201.27,133337.81,3350.37,16609.20,4400.65,0.00,2400.19,400.01,0.00,0.00,0.00,3300.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.4116,0.00,0.00,6601.44,0.00,7601.91,133690.92,4150.57,12405.13,1200.05,0.00,1600.09,0.00,0.00,0.00,0.00,3850.51,0.00,0.00,50.00,0.00,0.00,0.00,0.00,33.33,0.00
5.7086,0.00,0.00,9002.67,0.00,6001.19,133690.92,3300.36,15007.51,3000.30,0.00,1800.11,200.00,0.00,0.00,0.00,3350.39,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
6.0057,0.00,0.00,6201.27,0.00,6001.19,139291.35,3400.38,11804.65,2800.26,0.00,1800.11,0.00,0.00,0.00,0.00,3100.33,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
6.3027,0.00,0.00,8202.22,0.00,8402.34,137323.39,4000.53,14807.31,3200.34,0.00,2800.26,400.01,0.00,0.00,200.00,3800.50,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
