D:\0 ICPMS Data\User Data\M Beeskow\21_08_24_Qtz.b\21_08_24_a19.d
Intensity Vs Time,CPS
Acquired      : 24/08/2021 12:12:04 using Batch 21_08_24_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3447,150.00,0.00,100.00,172210.62,1800.11,58417.22,50.00,50.00,13156.06,8502.53,0.00,0.00,850.03,0.00,150.00
0.6447,300.00,0.00,50.00,174740.44,2700.25,62233.01,50.00,200.00,12155.17,9353.07,0.00,0.00,1200.05,0.00,100.00
0.9447,300.00,0.00,150.00,177371.91,2300.18,64844.39,150.00,0.00,12955.87,7952.22,0.00,0.00,1050.04,0.00,50.00
1.2447,150.00,0.00,50.00,176056.13,1400.07,61429.60,100.00,50.00,12305.30,9403.10,0.00,0.00,1150.05,50.00,200.00
1.5447,350.00,0.00,0.00,174740.44,2400.20,60525.82,50.00,100.00,10203.64,8702.66,0.00,0.00,1100.04,100.00,50.00
1.8447,250.00,0.00,50.00,172716.55,1700.10,68159.52,0.00,100.00,11804.88,8952.81,0.00,0.00,1200.05,0.00,150.00
2.1448,450.01,0.00,100.00,173323.69,2200.17,60124.16,0.00,200.00,11554.67,8552.56,0.00,0.00,950.03,50.00,100.00
2.4448,300.00,0.00,150.00,178991.52,2000.14,62835.60,100.00,100.00,11955.00,9603.23,0.00,0.00,700.02,0.00,150.00
2.7448,200.00,0.00,50.00,180813.79,1400.07,62032.15,50.00,150.00,12505.47,8952.81,0.00,0.00,1200.05,0.00,250.00
3.0448,350.00,0.00,0.00,172615.36,2500.21,62735.16,150.00,100.00,12855.78,8602.59,50.00,0.00,1000.04,50.00,400.01
3.3448,100.00,0.00,150.00,173020.12,2000.14,62534.30,200.00,100.00,12455.43,9853.40,50.00,0.00,1200.05,0.00,300.00
3.6448,0.00,0.00,0.00,173424.88,1700.10,62634.73,50.00,0.00,13956.82,9603.23,0.00,0.00,1000.04,0.00,350.00
3.9448,200.00,0.00,0.00,174133.24,1000.03,62032.15,0.00,100.00,13256.15,9253.00,0.00,0.00,950.03,50.00,300.00
4.2449,200.00,0.00,50.00,176056.13,1800.11,62936.03,50.00,50.00,13356.24,8052.27,50.00,50.00,1450.07,0.00,300.00
4.5449,250.00,0.00,0.00,180915.04,1800.11,61027.91,100.00,150.00,12655.61,9503.17,0.00,50.00,1050.04,0.00,150.00
4.8449,200.00,0.00,50.00,173121.30,1900.12,68661.88,150.00,0.00,12305.30,10603.94,50.00,0.00,1600.09,50.00,250.00
5.1449,400.01,0.00,100.00,166646.55,2200.17,63739.52,50.00,50.00,12255.26,8802.72,0.00,0.00,1600.09,0.00,300.00
5.4449,100.00,0.00,50.00,180813.79,2100.15,62735.16,200.00,0.00,12105.13,9002.84,0.00,0.00,1000.04,50.00,150.00
5.7449,200.00,0.00,150.00,173121.30,2200.17,57714.42,50.00,100.00,11604.71,8052.27,0.00,0.00,1550.09,0.00,150.00
6.0450,400.01,0.00,100.00,181218.77,1700.10,58818.83,0.00,100.00,11204.39,8602.59,100.00,0.00,1050.04,100.00,250.00
6.3450,150.00,0.00,150.00,172918.93,1000.03,61730.87,150.00,50.00,11454.59,9803.37,0.00,0.00,1150.05,50.00,150.00
6.6450,250.00,0.00,100.00,178890.30,1600.09,65848.90,150.00,100.00,13506.38,7802.13,0.00,0.00,1200.05,50.00,150.00
6.9450,150.00,0.00,0.00,176359.75,2600.23,63237.34,50.00,200.00,12705.65,9903.44,100.00,0.00,650.01,0.00,100.00
7.2450,50.00,0.00,0.00,175448.88,2100.15,61931.73,0.00,50.00,11955.00,8902.78,100.00,0.00,1450.07,0.00,150.00
7.5450,200.00,0.00,50.00,176258.54,1400.07,61931.73,100.00,100.00,11354.51,9353.07,0.00,0.00,1000.04,50.00,150.00
