D:\0 ICPMS Data\User Data\M Beeskow\21_08_25_Qtz.b\21_08_25_a26.d
Intensity Vs Time,CPS
Acquired      : 25/08/2021 11:35:43 using Batch 21_08_25_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3448,550.01,0.00,100.00,276597.92,6301.36,29028.97,150.00,300.00,11454.59,9603.23,550.01,600.01,1250.06,150.00,250.00
0.6448,300.00,50.00,0.00,291075.56,7501.93,32736.84,100.00,200.00,10653.97,8652.62,750.02,200.00,1200.05,350.00,400.01
0.9448,250.00,0.00,200.00,275375.10,6601.50,37247.69,50.00,200.00,11854.92,7201.82,800.02,600.01,1300.06,100.00,450.01
1.2448,500.01,50.00,100.00,280470.83,6401.41,34941.97,50.00,50.00,10003.50,8502.53,600.01,250.00,1200.05,50.00,550.01
1.5449,350.00,50.00,150.00,262948.93,7001.68,27826.62,0.00,150.00,10804.09,8202.36,500.01,350.00,1350.06,50.00,500.01
1.8449,200.00,0.00,100.00,271096.04,10203.58,33438.44,150.00,150.00,11104.32,8152.33,400.01,300.00,1050.04,100.00,250.00
2.1449,250.00,50.00,50.00,278738.06,8702.60,34140.07,100.00,150.00,12155.17,8802.72,850.03,250.00,1350.06,50.00,400.01
2.4449,450.01,0.00,100.00,255722.14,6201.32,31734.62,400.01,200.00,11654.75,9253.00,400.01,150.00,1400.07,200.00,400.01
2.7449,250.00,0.00,50.00,291279.59,7601.99,34741.49,0.00,50.00,10754.05,7802.13,700.02,300.00,850.03,250.00,200.00
3.0449,600.01,50.00,0.00,254297.56,6901.64,33638.90,150.00,50.00,10253.68,9052.87,350.00,150.00,1100.04,100.00,300.00
3.3449,300.00,0.00,250.00,298115.63,8102.26,30632.26,150.00,300.00,10954.20,8452.50,900.03,400.01,1650.10,150.00,300.00
3.6450,500.01,50.00,100.00,291993.65,5901.20,31534.19,100.00,150.00,12155.17,9953.47,450.01,200.00,1200.05,50.00,500.01
3.9450,200.00,0.00,0.00,283733.01,7902.15,35042.21,0.00,50.00,11104.32,8052.27,600.01,250.00,1300.06,350.00,350.00
4.2450,450.01,50.00,100.00,273846.73,7702.04,31433.97,150.00,100.00,11654.75,8402.47,450.01,250.00,1400.07,0.00,450.01
4.5450,600.01,0.00,200.00,261320.04,7301.83,31634.41,250.00,100.00,10704.01,10053.54,550.01,350.00,1250.06,0.00,250.00
4.8450,300.00,0.00,200.00,262032.67,7301.83,32837.07,50.00,200.00,11404.55,10403.79,350.00,400.01,1000.04,50.00,350.00
5.1450,300.00,0.00,0.00,255823.88,7101.73,32436.17,100.00,100.00,11304.47,8452.50,400.01,250.00,1350.06,100.00,200.00
5.4450,300.00,0.00,200.00,301994.21,6601.50,33137.75,200.00,150.00,10754.05,8752.69,350.00,200.00,750.02,100.00,350.00
5.7451,350.00,50.00,0.00,272420.39,8502.48,34340.54,250.00,150.00,11204.39,8602.59,100.00,200.00,1200.05,100.00,250.00
6.0451,500.01,0.00,0.00,259996.70,6701.54,36646.16,150.00,300.00,11054.28,7902.19,400.01,300.00,1700.10,0.00,450.01
6.3451,300.00,0.00,100.00,267836.67,5000.86,31333.75,50.00,150.00,9653.26,8902.78,400.01,250.00,1000.04,50.00,550.01
6.6451,250.00,0.00,250.00,310265.09,9703.23,32135.50,150.00,100.00,11354.51,9052.87,800.02,750.02,1450.07,0.00,400.01
6.9451,350.00,0.00,50.00,302198.36,3900.52,33839.36,50.00,0.00,9753.33,8702.66,550.01,600.01,1200.05,150.00,450.01
7.2451,650.01,0.00,150.00,254704.57,6801.59,33739.13,250.00,150.00,10754.05,7552.00,500.01,50.00,1050.04,150.00,500.01
7.5452,350.00,50.00,150.00,264781.64,6601.50,33137.75,50.00,200.00,13206.11,8602.59,350.00,350.00,1500.08,50.00,450.01
7.8452,650.01,0.00,0.00,269669.97,5801.16,29630.18,0.00,0.00,10754.05,10553.90,200.00,300.00,1300.06,100.00,100.00
8.1452,400.01,0.00,100.00,273541.06,9002.78,31033.11,150.00,300.00,11354.51,10203.65,500.01,250.00,900.03,100.00,400.01
8.4452,150.00,0.00,150.00,280878.54,8302.37,35643.67,100.00,100.00,11304.47,8452.50,300.00,300.00,1550.09,50.00,250.00
8.7452,250.00,0.00,0.00,285262.40,5300.97,34741.49,100.00,100.00,10053.54,7552.00,300.00,150.00,800.02,0.00,450.01
