D:\0 ICPMS Data\User Data\M Beeskow\21_08_25_Qtz.b\21_08_25_b28.d
Intensity Vs Time,CPS
Acquired      : 25/08/2021 12:50:43 using Batch 21_08_25_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3466,500.01,0.00,100.00,291177.56,7902.15,32837.07,400.01,300.00,10704.01,7802.13,500.01,100.00,1150.05,200.00,350.00
0.6466,250.00,50.00,200.00,279247.68,6001.24,33538.67,100.00,0.00,10854.12,8502.53,250.00,300.00,1750.11,250.00,250.00
0.9466,600.01,0.00,100.00,282611.55,6901.64,30932.89,100.00,150.00,11454.59,9002.84,400.01,150.00,1550.09,50.00,400.01
1.2466,450.01,0.00,50.00,282305.71,6701.54,33839.36,50.00,50.00,11204.39,8252.39,400.01,350.00,700.02,0.00,250.00
1.5466,450.01,0.00,100.00,307405.49,8702.60,31935.06,150.00,200.00,10904.16,9002.84,450.01,500.01,950.03,50.00,350.00
1.8467,400.01,0.00,50.00,258673.49,7702.04,35543.43,100.00,100.00,11504.63,9253.00,250.00,250.00,1250.06,200.00,150.00
2.1467,450.01,0.00,0.00,281796.00,8702.60,35042.21,150.00,100.00,10804.09,8352.45,650.01,200.00,1400.07,50.00,450.01
2.4467,300.00,0.00,50.00,288525.66,6901.64,31734.62,250.00,100.00,10303.72,9002.84,400.01,150.00,1450.07,100.00,300.00
2.7467,400.01,50.00,150.00,297299.22,7001.68,33839.36,200.00,100.00,9202.96,9002.84,400.01,50.00,1400.07,50.00,450.01
3.0467,550.01,0.00,50.00,298115.63,9703.23,31634.41,150.00,250.00,11754.84,9202.97,150.00,350.00,1250.06,200.00,200.00
3.3467,350.00,0.00,100.00,304954.83,4900.83,32636.62,50.00,100.00,11204.39,8552.56,750.02,150.00,950.03,0.00,650.02
3.6467,550.01,0.00,50.00,282101.81,7702.04,32035.28,100.00,350.00,9853.40,8052.27,150.00,250.00,1500.08,150.00,350.00
3.9468,250.00,0.00,100.00,297809.47,5601.08,32035.28,150.00,200.00,12055.09,8552.56,650.01,250.00,1100.04,150.00,200.00
4.2468,250.00,0.00,300.00,314249.02,5501.04,32536.39,150.00,200.00,10804.09,8552.56,450.01,450.01,900.03,100.00,400.01
4.5468,300.00,0.00,100.00,295564.48,6601.50,32235.72,50.00,0.00,10453.83,8502.53,300.00,200.00,950.03,50.00,300.00
4.8468,200.00,0.00,50.00,281184.35,4600.73,33338.21,150.00,350.00,10553.90,7151.79,300.00,400.01,1500.08,50.00,350.00
5.1468,300.00,0.00,100.00,279553.44,4600.73,34941.97,100.00,100.00,10353.75,9002.84,450.01,500.01,1550.09,50.00,300.00
5.4468,500.01,0.00,50.00,277922.73,12605.46,34240.30,200.00,200.00,10103.57,7852.16,350.00,250.00,1400.07,100.00,150.00
5.7469,200.00,0.00,100.00,299442.41,11604.63,31834.84,100.00,200.00,11955.00,8202.36,400.01,350.00,1100.04,100.00,350.00
6.0469,300.00,50.00,50.00,281184.35,9603.17,32536.39,150.00,200.00,10303.72,9303.03,400.01,550.01,1200.05,200.00,250.00
6.3469,350.00,0.00,0.00,285262.40,8102.26,33839.36,50.00,350.00,11304.47,8902.78,300.00,150.00,1050.04,200.00,400.01
6.6469,350.00,50.00,50.00,282407.67,8602.54,30932.89,50.00,100.00,10904.16,9002.84,300.00,250.00,1650.10,100.00,350.00
6.9469,300.00,50.00,100.00,274967.50,9202.91,33438.44,100.00,100.00,10904.16,8602.59,650.01,300.00,750.02,200.00,500.01
7.2469,400.01,0.00,100.00,286791.97,8102.26,31233.54,250.00,0.00,10754.05,9603.23,350.00,250.00,1350.06,100.00,350.00
7.5469,500.01,50.00,50.00,293115.82,6701.54,33839.36,100.00,50.00,10704.01,8302.42,150.00,500.01,1050.04,100.00,400.01
7.8470,300.00,50.00,150.00,284956.49,6601.50,33137.75,0.00,100.00,12105.13,7652.05,300.00,200.00,1200.05,50.00,100.00
8.1470,400.01,0.00,100.00,286791.97,5901.20,33237.98,250.00,50.00,10453.83,8352.45,350.00,400.01,850.03,100.00,50.00
8.4470,450.01,0.00,50.00,264883.47,9703.23,36545.91,100.00,250.00,10203.64,7802.13,350.00,200.00,1400.07,200.00,300.00
8.7470,350.00,50.00,150.00,287199.88,7201.78,32135.50,50.00,200.00,11504.63,8252.39,450.01,150.00,1500.08,100.00,300.00
9.0470,350.00,0.00,150.00,275069.41,5701.12,32436.17,100.00,150.00,11054.28,7802.13,300.00,200.00,1450.07,100.00,350.00
9.3470,250.00,0.00,50.00,260709.25,8502.48,34440.77,200.00,150.00,10653.97,9202.97,600.01,200.00,1050.04,0.00,150.00
9.6470,700.02,150.00,200.00,291279.59,3700.47,29930.80,50.00,50.00,12205.21,7802.13,600.01,500.01,1900.13,150.00,400.01
9.9471,350.00,0.00,150.00,288933.59,6501.45,32837.07,150.00,200.00,11254.43,8552.56,150.00,300.00,1300.06,50.00,300.00
10.2471,350.00,0.00,250.00,278738.06,7902.15,32335.95,250.00,150.00,10103.57,7652.05,450.01,550.01,1150.05,50.00,550.01
10.5471,200.00,50.00,100.00,270892.31,9403.04,35543.43,100.00,100.00,8902.77,8652.62,400.01,0.00,1050.04,0.00,450.01
10.8471,200.00,0.00,150.00,306997.02,9102.85,33939.60,150.00,0.00,10553.90,9052.87,500.01,250.00,1050.04,100.00,100.00
11.1471,400.01,50.00,150.00,270688.57,6601.50,33237.98,50.00,100.00,10804.09,7652.05,400.01,400.01,1250.06,50.00,150.00
11.4471,450.01,0.00,0.00,345033.11,7301.83,32436.17,0.00,150.00,11104.32,9453.13,400.01,200.00,1200.05,0.00,200.00
11.7471,250.00,0.00,200.00,308528.83,5200.93,30131.21,200.00,0.00,12655.61,8852.75,600.01,200.00,1650.10,300.00,150.00
12.0472,300.00,0.00,0.00,274661.84,6001.24,29730.39,50.00,50.00,8902.77,9403.10,150.00,500.01,1600.09,100.00,350.00
12.3472,300.00,50.00,100.00,278330.40,6501.45,30231.42,100.00,200.00,9703.30,8652.62,450.01,350.00,1450.07,250.00,250.00
12.6472,650.01,0.00,50.00,290157.54,3700.47,33638.90,100.00,100.00,11154.36,8152.33,200.00,100.00,750.02,0.00,150.00
12.9472,300.00,0.00,100.00,266716.41,5401.00,31233.54,0.00,150.00,10804.09,9002.84,200.00,250.00,1150.05,50.00,250.00
13.2472,200.00,0.00,50.00,282815.45,8402.43,34340.54,100.00,100.00,11804.88,8552.56,550.01,200.00,800.02,0.00,350.00
13.5472,550.01,0.00,50.00,287811.77,8302.37,32436.17,50.00,0.00,10003.50,7501.97,350.00,350.00,1400.07,100.00,400.01
13.8473,100.00,0.00,100.00,276699.80,6001.24,33538.67,150.00,200.00,10253.68,9953.47,500.01,250.00,750.02,150.00,450.01
14.1473,400.01,50.00,0.00,290667.55,5801.16,29229.38,50.00,150.00,12455.43,8202.36,350.00,150.00,1050.04,100.00,400.01
14.4473,400.01,0.00,150.00,284242.80,5801.16,31834.84,100.00,50.00,12405.39,8552.56,200.00,50.00,1550.09,250.00,250.00
14.7473,300.00,0.00,100.00,280063.09,5100.89,34240.30,150.00,200.00,11504.63,8252.39,550.01,350.00,1200.05,0.00,400.01
15.0473,400.01,50.00,150.00,278534.23,4700.76,30231.42,50.00,150.00,11354.51,8252.39,650.01,150.00,1600.09,200.00,450.01
15.3473,450.01,0.00,0.00,280878.54,10403.72,28127.20,0.00,250.00,11254.43,9102.90,300.00,300.00,950.03,150.00,350.00
15.6473,300.00,0.00,200.00,262643.51,6901.64,32937.30,100.00,200.00,11104.32,7552.00,400.01,200.00,1200.05,100.00,300.00
15.9474,350.00,50.00,0.00,297095.12,7301.83,31734.62,250.00,100.00,11454.59,8852.75,500.01,350.00,1200.05,0.00,500.01
16.2474,650.01,0.00,0.00,257146.85,8302.37,33739.13,150.00,50.00,11254.43,9102.90,400.01,250.00,1400.07,350.00,300.00
16.5474,400.01,0.00,100.00,288219.70,7902.15,27125.30,200.00,150.00,9753.33,8902.78,100.00,0.00,1700.10,150.00,150.00
16.8474,500.01,0.00,100.00,301177.56,10003.44,33638.90,100.00,200.00,11004.24,8552.56,250.00,300.00,1200.05,150.00,250.00
17.1474,550.01,0.00,150.00,293013.79,7902.15,31433.97,50.00,0.00,8802.71,8502.53,400.01,150.00,1100.04,50.00,50.00
17.4474,400.01,0.00,0.00,256129.17,8002.20,32837.07,50.00,0.00,11304.47,8102.30,250.00,200.00,1000.04,0.00,250.00
17.7474,400.01,0.00,0.00,281592.11,5200.93,32536.39,150.00,0.00,11554.67,8752.69,400.01,150.00,1550.09,0.00,250.00
18.0475,400.01,0.00,150.00,257146.85,8802.66,29529.98,50.00,50.00,9803.36,9553.20,100.00,300.00,1450.07,50.00,550.01
18.3475,300.00,0.00,50.00,285568.29,8902.72,30031.01,100.00,100.00,11454.59,8802.72,350.00,300.00,1150.05,50.00,450.01
18.6475,500.01,0.00,50.00,289647.56,6001.24,32335.95,50.00,200.00,9953.47,8402.47,450.01,200.00,1500.08,100.00,350.00
18.9475,150.00,0.00,0.00,265901.73,6301.36,32736.84,200.00,150.00,11454.59,8502.53,200.00,250.00,1050.04,100.00,200.00
19.2475,350.00,0.00,50.00,263865.26,7601.99,30131.21,100.00,150.00,11955.00,9453.13,350.00,150.00,950.03,50.00,450.01
19.5475,250.00,0.00,0.00,262439.89,6101.28,32636.62,200.00,150.00,11354.51,9002.84,600.01,250.00,1150.05,150.00,450.01
19.8476,400.01,0.00,50.00,264883.47,5200.93,32636.62,200.00,250.00,11504.63,8052.27,400.01,100.00,750.02,50.00,600.01
20.1476,400.01,0.00,50.00,271299.78,4900.83,31033.11,150.00,50.00,11004.24,8352.45,350.00,350.00,1150.05,50.00,250.00
20.4476,350.00,0.00,150.00,280776.61,7601.99,31333.75,150.00,50.00,10453.83,7151.79,1250.06,100.00,1500.08,50.00,150.00
20.7476,500.01,0.00,200.00,295462.45,5300.97,30832.68,50.00,100.00,11054.28,7802.13,200.00,150.00,1800.11,300.00,300.00
21.0476,500.01,50.00,50.00,276496.00,5701.12,35142.45,50.00,150.00,11004.24,9603.23,250.00,250.00,1150.05,0.00,150.00
21.3476,550.01,0.00,200.00,278126.56,7101.73,29930.80,100.00,50.00,10603.94,7802.13,550.01,250.00,1250.06,100.00,200.00
21.6476,450.01,0.00,0.00,317007.76,6401.41,29830.59,50.00,100.00,10553.90,8202.36,250.00,300.00,1200.05,0.00,150.00
21.9477,550.01,0.00,200.00,293115.82,6601.50,32436.17,100.00,0.00,10653.97,9453.13,300.00,250.00,1000.04,0.00,450.01
22.2477,300.00,50.00,200.00,271605.40,9503.10,29930.80,100.00,200.00,9903.43,8902.78,600.01,200.00,1450.07,150.00,150.00
22.5477,100.00,0.00,50.00,266920.09,3000.31,35543.43,100.00,150.00,11354.51,9253.00,400.01,150.00,1000.04,0.00,400.01
