D:\0 ICPMS Data\User Data\M Beeskow\21_08_25_Qtz.b\21_08_25_c21.d
Intensity Vs Time,CPS
Acquired      : 25/08/2021 13:55:10 using Batch 21_08_25_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3446,350.00,0.00,0.00,229288.09,3300.37,27225.49,50.00,200.00,7952.21,7552.00,0.00,0.00,1200.05,0.00,300.00
0.6446,200.00,0.00,50.00,241990.82,2900.29,28928.78,100.00,50.00,9403.10,8552.56,0.00,0.00,650.01,150.00,150.00
0.9446,350.00,0.00,0.00,247786.91,3200.35,29429.78,50.00,200.00,7401.92,9152.94,0.00,0.00,1150.05,0.00,50.00
1.2446,300.00,50.00,250.00,239449.39,4600.73,32736.84,50.00,50.00,8002.24,8652.62,0.00,0.00,1250.06,0.00,50.00
1.5446,450.01,0.00,50.00,232437.33,2400.20,35042.21,100.00,100.00,10003.50,9303.03,50.00,0.00,550.01,50.00,100.00
1.8446,150.00,0.00,100.00,226241.04,3200.35,29329.58,150.00,50.00,8752.68,8752.69,0.00,0.00,950.03,0.00,50.00
2.1447,250.00,0.00,100.00,241787.50,3500.42,28327.59,50.00,0.00,9202.96,8452.50,0.00,50.00,1200.05,0.00,100.00
2.4447,250.00,0.00,0.00,233250.15,2800.27,30031.01,50.00,0.00,9052.87,8202.36,50.00,0.00,400.01,0.00,0.00
2.7447,300.00,0.00,50.00,239957.64,3600.45,32335.95,100.00,250.00,9503.16,8002.24,0.00,0.00,950.03,0.00,250.00
3.0447,250.00,0.00,50.00,241584.18,2600.23,30532.05,150.00,150.00,9803.36,8302.42,0.00,0.00,550.01,0.00,50.00
3.3447,250.00,0.00,0.00,240567.58,2900.29,31634.41,50.00,100.00,9653.26,7752.11,50.00,0.00,850.03,50.00,100.00
3.6447,300.00,0.00,50.00,231015.01,3800.50,31233.54,200.00,50.00,8752.68,8102.30,0.00,0.00,1100.04,50.00,100.00
3.9448,150.00,0.00,50.00,240872.56,3500.42,30532.05,200.00,100.00,8502.53,9202.97,0.00,0.00,1300.06,0.00,250.00
