D:\0 ICPMS Data\User Data\M Beeskow\21_08_24_Qtz.b\21_08_24_b25.d
Intensity Vs Time,CPS
Acquired      : 24/08/2021 14:07:06 using Batch 21_08_24_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3449,250.00,0.00,50.00,155524.73,1000.03,69968.08,50.00,150.00,17210.37,6551.50,0.00,0.00,1000.04,50.00,150.00
0.6449,150.00,0.00,50.00,159972.45,2100.15,66753.01,0.00,150.00,17310.49,7451.95,0.00,0.00,1100.04,0.00,50.00
0.9449,150.00,0.00,0.00,170996.46,1200.05,68059.05,200.00,100.00,17610.85,7101.77,200.00,0.00,1200.05,0.00,200.00
1.2450,100.00,0.00,50.00,170288.26,1200.05,70671.48,0.00,150.00,17710.98,7552.00,100.00,0.00,950.03,50.00,100.00
1.5450,0.00,0.00,50.00,165938.55,1700.10,70570.99,100.00,0.00,17060.19,7501.97,0.00,0.00,1450.07,50.00,100.00
1.8450,100.00,50.00,50.00,167455.74,1400.07,72580.85,50.00,50.00,17060.19,8052.27,100.00,0.00,1300.06,0.00,250.00
2.1450,200.00,0.00,50.00,166949.99,1200.05,70972.94,50.00,50.00,19112.78,6701.57,100.00,0.00,1150.05,0.00,300.00
2.4450,100.00,0.00,0.00,160376.86,1200.05,71776.88,0.00,0.00,17861.16,8152.33,0.00,0.00,1200.05,0.00,250.00
2.7450,200.00,50.00,0.00,168163.82,1100.04,72982.86,0.00,100.00,16960.07,7852.16,50.00,0.00,1000.04,0.00,250.00
3.0450,50.00,0.00,200.00,164522.63,800.02,68661.88,0.00,50.00,17160.31,8402.47,100.00,0.00,1400.07,0.00,200.00
3.3451,200.00,0.00,100.00,171603.53,700.02,68360.46,100.00,0.00,16359.37,7101.77,100.00,0.00,700.02,50.00,200.00
3.6451,150.00,0.00,50.00,167759.19,1300.06,69063.77,200.00,150.00,18461.93,7652.05,100.00,0.00,1100.04,50.00,50.00
3.9451,200.00,0.00,0.00,171401.17,2000.14,69867.60,150.00,150.00,16459.48,7702.08,50.00,0.00,800.02,50.00,150.00
4.2451,150.00,0.00,50.00,167658.03,1800.11,73887.42,50.00,100.00,16559.60,8502.53,150.00,0.00,700.02,50.00,0.00
4.5451,100.00,0.00,50.00,161286.80,1600.09,69164.25,0.00,150.00,17460.67,7752.11,100.00,0.00,1000.04,0.00,50.00
4.8451,100.00,0.00,0.00,168163.82,1400.07,67657.18,50.00,50.00,16509.54,7902.19,0.00,0.00,900.03,0.00,100.00
5.1451,300.00,0.00,0.00,160174.66,600.01,68963.30,250.00,150.00,17710.98,7702.08,100.00,0.00,1250.06,0.00,50.00
5.4452,250.00,0.00,150.00,169478.89,1800.11,67355.79,150.00,50.00,16008.97,6601.53,100.00,0.00,1400.07,0.00,200.00
5.7452,250.00,0.00,0.00,163410.24,1600.09,68059.05,150.00,150.00,17510.73,7151.79,0.00,50.00,700.02,50.00,100.00
6.0452,300.00,50.00,0.00,171704.71,1500.08,69968.08,50.00,50.00,16459.48,7852.16,0.00,0.00,1550.09,50.00,150.00
6.3452,50.00,50.00,100.00,169681.23,1700.10,64040.84,0.00,50.00,17761.04,8152.33,0.00,0.00,1250.06,0.00,0.00
6.6452,150.00,0.00,0.00,166848.84,1000.03,62433.87,0.00,150.00,18061.42,7602.03,0.00,0.00,1200.05,50.00,50.00
6.9452,100.00,0.00,0.00,163612.49,600.01,72982.86,50.00,150.00,17010.13,6751.60,100.00,0.00,850.03,0.00,0.00
7.2453,150.00,0.00,50.00,171704.71,1400.07,68059.05,50.00,150.00,18161.54,7902.19,50.00,0.00,800.02,0.00,150.00
7.5453,100.00,0.00,50.00,177878.03,1400.07,72279.36,50.00,100.00,17560.79,6551.50,0.00,0.00,850.03,0.00,100.00
7.8453,300.00,0.00,0.00,172716.55,1100.04,69968.08,50.00,250.00,16609.65,7552.00,0.00,50.00,1150.05,0.00,100.00
8.1453,150.00,0.00,50.00,161387.92,1600.09,65246.19,200.00,50.00,18712.25,7552.00,50.00,0.00,700.02,0.00,100.00
8.4453,0.00,0.00,200.00,160781.27,600.01,68360.46,100.00,150.00,17010.13,7902.19,0.00,0.00,1350.06,0.00,200.00
8.7453,200.00,0.00,0.00,160680.16,1100.04,69867.60,150.00,300.00,17360.55,7101.77,50.00,0.00,950.03,50.00,150.00
9.0454,100.00,0.00,0.00,161691.25,1300.06,67556.71,0.00,0.00,16259.25,6751.60,100.00,0.00,1500.08,50.00,100.00
9.3454,200.00,0.00,50.00,165837.40,1700.10,67757.65,0.00,50.00,19062.72,8302.42,150.00,0.00,1000.04,50.00,50.00
9.6454,300.00,0.00,50.00,165432.85,1800.11,66853.47,50.00,100.00,19363.12,7251.84,0.00,0.00,900.03,0.00,50.00
9.9454,100.00,0.00,50.00,170794.10,900.03,70972.94,300.00,0.00,18612.12,7552.00,0.00,0.00,1150.05,0.00,0.00
10.2454,350.00,0.00,150.00,161387.92,1300.06,70570.99,100.00,50.00,17811.10,6551.50,0.00,0.00,1100.04,50.00,250.00
10.5454,200.00,0.00,100.00,173222.50,900.03,69968.08,0.00,0.00,18461.93,7101.77,100.00,0.00,1650.10,0.00,0.00
10.8454,250.00,0.00,0.00,163612.49,1600.09,69264.73,50.00,0.00,17260.43,7501.97,0.00,0.00,1850.12,0.00,300.00
11.1454,150.00,0.00,50.00,175448.88,1500.08,67556.71,100.00,150.00,17761.04,6451.46,50.00,0.00,850.03,0.00,50.00
11.4455,150.00,0.00,50.00,164927.16,1200.05,70470.51,50.00,150.00,18411.86,7201.82,100.00,0.00,1300.06,0.00,50.00
11.7455,50.00,0.00,0.00,171704.71,1200.05,65647.99,200.00,50.00,17811.10,7101.77,50.00,0.00,1150.05,0.00,150.00
12.0455,200.00,0.00,150.00,169681.23,1700.10,67255.32,0.00,250.00,16209.19,8152.33,0.00,0.00,1000.04,0.00,100.00
