D:\0 ICPMS Data\User Data\M Beeskow\21_08_24_Qtz.b\21_08_24_c06.d
Intensity Vs Time,CPS
Acquired      : 24/08/2021 14:22:23 using Batch 21_08_24_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3447,150.00,0.00,50.00,183851.40,1000.03,60927.49,100.00,100.00,17010.13,9002.84,50.00,0.00,1350.06,50.00,0.00
0.6447,100.00,0.00,0.00,181117.52,2100.15,67255.32,150.00,150.00,15358.26,6401.44,0.00,0.00,1000.04,0.00,50.00
0.9447,50.00,0.00,150.00,177776.79,1600.09,68561.40,100.00,150.00,15158.04,8602.59,50.00,0.00,1700.10,50.00,50.00
1.2448,200.00,0.00,50.00,177675.59,1500.08,61931.73,50.00,150.00,17060.19,8252.39,50.00,0.00,1050.04,50.00,0.00
1.5448,100.00,0.00,50.00,171704.71,800.02,68862.82,150.00,50.00,14407.26,8652.62,50.00,0.00,1300.06,100.00,100.00
1.8448,200.00,0.00,0.00,182737.54,1400.07,65447.09,50.00,50.00,16359.37,7752.11,0.00,0.00,1100.04,100.00,100.00
2.1448,150.00,0.00,150.00,192765.38,900.03,65547.54,50.00,100.00,14657.52,7501.97,50.00,0.00,1000.04,50.00,100.00
2.4448,300.00,0.00,100.00,177473.14,1400.07,60023.74,0.00,200.00,16409.42,7552.00,50.00,0.00,850.03,0.00,150.00
2.7448,300.00,0.00,50.00,177574.35,1800.11,65748.44,150.00,50.00,16709.77,7552.00,50.00,0.00,1250.06,50.00,150.00
3.0449,50.00,0.00,50.00,183952.67,800.02,64743.95,50.00,150.00,16008.97,7051.74,0.00,0.00,1250.06,0.00,50.00
3.3449,300.00,0.00,50.00,182433.78,600.01,62835.60,100.00,150.00,15107.99,8552.56,100.00,0.00,1200.05,50.00,100.00
3.6449,200.00,0.00,50.00,179700.16,1000.03,64040.84,50.00,100.00,16609.65,7501.97,0.00,0.00,950.03,0.00,150.00
3.9449,300.00,0.00,50.00,170085.90,1400.07,61730.87,50.00,50.00,15258.15,7552.00,0.00,0.00,950.03,0.00,350.00
4.2449,100.00,100.00,100.00,178282.92,1900.12,65647.99,0.00,150.00,13606.48,7802.13,0.00,0.00,1000.04,0.00,150.00
4.5449,200.00,0.00,100.00,177473.14,2000.14,63639.08,50.00,0.00,16409.42,7652.05,50.00,0.00,1200.05,150.00,100.00
4.8449,200.00,0.00,100.00,173930.85,1500.08,61831.30,50.00,0.00,17060.19,8002.24,50.00,0.00,800.02,0.00,50.00
5.1450,200.00,0.00,50.00,179396.45,1800.11,63639.08,50.00,100.00,17710.98,7351.90,100.00,0.00,1350.06,0.00,0.00
5.4450,200.00,0.00,0.00,169074.24,1300.06,60324.99,400.01,50.00,16759.83,8102.30,50.00,0.00,1350.06,0.00,100.00
5.7450,100.00,0.00,0.00,178586.60,1500.08,64844.39,50.00,50.00,18211.61,6401.44,0.00,0.00,950.03,0.00,50.00
6.0450,100.00,0.00,100.00,177675.59,1100.04,60927.49,100.00,100.00,14907.78,7652.05,50.00,0.00,1800.11,0.00,0.00
6.3450,250.00,0.00,0.00,175246.45,2300.18,62132.58,50.00,50.00,15808.75,8002.24,50.00,0.00,1200.05,0.00,150.00
6.6450,150.00,50.00,0.00,187497.38,2000.14,63639.08,50.00,0.00,14857.73,7201.82,100.00,0.00,1300.06,0.00,50.00
6.9450,250.00,0.00,50.00,181927.51,1200.05,64844.39,100.00,50.00,14457.32,8252.39,50.00,0.00,900.03,0.00,0.00
7.2451,200.00,50.00,100.00,176056.13,1600.09,62433.87,150.00,50.00,16809.89,7752.11,0.00,0.00,900.03,50.00,150.00
7.5451,150.00,0.00,50.00,186788.38,800.02,58919.23,150.00,100.00,16559.60,9102.90,0.00,0.00,800.02,0.00,50.00
7.8451,200.00,0.00,200.00,188003.83,900.03,64944.84,150.00,50.00,15408.31,8552.56,0.00,0.00,1300.06,100.00,100.00
8.1451,100.00,0.00,150.00,179092.75,1700.10,60425.40,50.00,50.00,14307.16,6851.65,50.00,0.00,1350.06,0.00,50.00
8.4451,100.00,0.00,150.00,185876.83,1100.04,59421.28,50.00,150.00,17260.43,7251.84,50.00,0.00,1200.05,50.00,50.00
8.7451,200.00,0.00,100.00,179902.62,1000.03,61128.34,100.00,200.00,16209.19,7451.95,50.00,0.00,950.03,100.00,150.00
9.0452,100.00,0.00,50.00,182332.52,1900.12,61831.30,100.00,250.00,16509.54,7501.97,100.00,0.00,900.03,50.00,200.00
9.3452,150.00,0.00,50.00,179700.16,1300.06,62735.16,50.00,50.00,17961.29,8652.62,50.00,0.00,1200.05,0.00,0.00
9.6452,300.00,0.00,100.00,173829.65,700.02,60224.57,50.00,150.00,14907.78,6501.48,0.00,0.00,1050.04,0.00,50.00
9.9452,100.00,0.00,0.00,179598.91,1200.05,66753.01,100.00,50.00,16960.07,7101.77,50.00,0.00,850.03,0.00,0.00
10.2452,250.00,0.00,150.00,181421.26,1400.07,63639.08,100.00,200.00,15007.88,8852.75,150.00,0.00,1000.04,0.00,100.00
10.5452,300.00,50.00,100.00,172412.99,1800.11,58818.83,0.00,50.00,17310.49,8152.33,50.00,0.00,1250.06,50.00,50.00
10.8453,200.00,0.00,0.00,183446.36,1700.10,63839.96,50.00,100.00,17010.13,6351.41,50.00,0.00,1400.07,0.00,50.00
11.1453,100.00,0.00,50.00,183041.32,1400.07,68159.52,100.00,0.00,16109.08,7451.95,0.00,0.00,1150.05,0.00,150.00
11.4453,150.00,0.00,0.00,181522.51,1400.07,62433.87,100.00,100.00,16259.25,7451.95,0.00,0.00,1250.06,50.00,350.00
11.7453,150.00,0.00,50.00,176865.83,1200.05,64241.72,0.00,100.00,16359.37,6851.65,100.00,0.00,1700.10,50.00,100.00
12.0453,100.00,0.00,150.00,181623.77,1300.06,61429.60,0.00,50.00,15508.42,7652.05,0.00,0.00,1450.07,0.00,0.00
12.3453,200.00,0.00,0.00,183851.40,1600.09,60827.08,0.00,100.00,15007.88,7201.82,0.00,0.00,1000.04,50.00,0.00
12.6453,150.00,0.00,100.00,191245.57,1000.03,62634.73,0.00,150.00,15908.86,8352.45,50.00,0.00,950.03,0.00,100.00
12.9453,150.00,0.00,50.00,174436.83,1600.09,64241.72,100.00,0.00,16159.14,6701.57,0.00,0.00,1100.04,150.00,150.00
13.2454,150.00,0.00,100.00,181320.02,1700.10,63839.96,300.00,50.00,15508.42,7752.11,50.00,0.00,1150.05,0.00,100.00
13.5454,150.00,0.00,100.00,177574.35,1900.12,60726.65,100.00,50.00,18361.80,7802.13,0.00,0.00,800.02,0.00,200.00
13.8454,250.00,0.00,50.00,186788.38,1400.07,60425.40,50.00,50.00,15858.80,8552.56,0.00,0.00,1100.04,50.00,150.00
14.1454,250.00,0.00,0.00,177270.70,1100.04,59019.64,100.00,50.00,16509.54,6251.37,200.00,0.00,1450.07,0.00,150.00
14.4454,350.00,0.00,100.00,172918.93,1700.10,65045.29,150.00,100.00,16759.83,7401.92,50.00,0.00,1100.04,150.00,50.00
14.7454,100.00,0.00,0.00,178687.83,1800.11,63237.34,50.00,0.00,16259.25,5100.91,50.00,0.00,1300.06,0.00,150.00
15.0455,450.01,0.00,0.00,181623.77,900.03,66853.47,100.00,200.00,16910.01,8302.42,0.00,0.00,1050.04,0.00,50.00
15.3455,100.00,0.00,50.00,179598.91,1200.05,61128.34,50.00,200.00,13906.77,7301.87,0.00,0.00,1450.07,0.00,150.00
15.6455,100.00,50.00,50.00,172412.99,900.03,68360.46,0.00,150.00,15608.53,7952.22,0.00,0.00,1250.06,150.00,250.00
15.9455,100.00,50.00,100.00,182028.76,1400.07,61931.73,50.00,200.00,15308.20,6601.53,50.00,0.00,1750.11,50.00,200.00
16.2455,250.00,0.00,0.00,183446.36,1600.09,62936.03,50.00,100.00,15158.04,7952.22,100.00,0.00,1150.05,0.00,200.00
16.5455,150.00,0.00,0.00,176460.97,1100.04,59521.69,50.00,300.00,16259.25,8752.69,50.00,0.00,1050.04,0.00,100.00
16.8455,100.00,0.00,0.00,172615.36,800.02,61931.73,0.00,50.00,15508.42,8602.59,100.00,0.00,1150.05,150.00,150.00
17.1456,50.00,0.00,200.00,183851.40,1200.05,65647.99,300.00,0.00,16309.31,7501.97,50.00,0.00,1550.09,0.00,100.00
17.4456,100.00,50.00,0.00,178384.14,1700.10,62634.73,150.00,200.00,17710.98,8452.50,0.00,0.00,1100.04,50.00,100.00
17.7456,200.00,0.00,100.00,176056.13,1700.10,61831.30,0.00,200.00,15608.53,8252.39,0.00,0.00,1450.07,0.00,0.00
18.0456,50.00,50.00,0.00,188206.42,1600.09,57714.42,0.00,200.00,15608.53,8202.36,100.00,0.00,1250.06,50.00,200.00
18.3456,150.00,0.00,50.00,186383.24,1000.03,63136.90,0.00,50.00,17360.55,7852.16,150.00,0.00,650.01,0.00,100.00
18.6456,200.00,0.00,50.00,179598.91,500.01,60023.74,50.00,50.00,16409.42,6851.65,150.00,0.00,1050.04,0.00,150.00
18.9457,50.00,0.00,150.00,181927.51,1600.09,64543.05,100.00,0.00,17811.10,8252.39,50.00,0.00,1450.07,0.00,50.00
19.2457,200.00,0.00,0.00,177878.03,1600.09,60124.16,0.00,50.00,15458.36,6901.67,0.00,0.00,1650.10,0.00,150.00
19.5457,50.00,0.00,200.00,182636.29,800.02,64643.51,200.00,50.00,16409.42,8052.27,50.00,0.00,1200.05,0.00,100.00
19.8457,150.00,0.00,50.00,178586.60,1400.07,69164.25,100.00,100.00,15258.15,5851.20,0.00,0.00,1050.04,0.00,100.00
20.1457,150.00,0.00,50.00,176865.83,1300.06,62634.73,150.00,50.00,15358.26,7552.00,100.00,0.00,1250.06,50.00,50.00
20.4457,200.00,0.00,150.00,183446.36,800.02,62936.03,50.00,50.00,15358.26,8002.24,0.00,50.00,1350.06,0.00,150.00
20.7457,400.01,0.00,100.00,176056.13,2200.17,61831.30,50.00,50.00,15658.58,7602.03,100.00,0.00,750.02,50.00,300.00
21.0458,50.00,0.00,100.00,178991.52,1400.07,67958.58,0.00,300.00,17610.85,7451.95,0.00,50.00,1300.06,0.00,150.00
21.3458,150.00,50.00,50.00,180408.83,1900.12,60324.99,0.00,50.00,17110.24,7151.79,100.00,0.00,950.03,50.00,150.00
21.6458,300.00,0.00,0.00,175246.45,1800.11,62132.58,100.00,0.00,16609.65,8102.30,50.00,100.00,1250.06,150.00,50.00
21.9458,150.00,0.00,100.00,174032.04,1200.05,65246.19,50.00,250.00,16159.14,8502.53,100.00,0.00,700.02,0.00,150.00
22.2458,100.00,0.00,50.00,180105.10,1100.04,64040.84,50.00,200.00,15708.64,8202.36,0.00,0.00,1100.04,0.00,100.00
22.5458,200.00,0.00,50.00,176764.61,2100.15,60324.99,100.00,150.00,16859.95,6751.60,0.00,0.00,600.01,0.00,0.00
22.8458,300.00,0.00,50.00,180510.06,2200.17,65848.90,0.00,50.00,16659.71,8052.27,0.00,0.00,950.03,0.00,350.00
23.1459,400.01,0.00,100.00,179801.39,1800.11,60324.99,50.00,100.00,15958.91,8502.53,0.00,0.00,1150.05,0.00,200.00
23.4459,150.00,0.00,50.00,174841.64,1100.04,63237.34,150.00,150.00,16008.97,8502.53,50.00,0.00,950.03,100.00,150.00
23.7459,300.00,0.00,0.00,190232.46,900.03,64743.95,100.00,100.00,15358.26,8202.36,100.00,0.00,1050.04,0.00,100.00
24.0459,350.00,0.00,0.00,186383.24,1200.05,66853.47,50.00,50.00,16459.48,6801.62,0.00,0.00,1150.05,50.00,100.00
24.3459,200.00,0.00,50.00,189928.53,800.02,67556.71,50.00,100.00,17160.31,7251.84,100.00,0.00,1400.07,50.00,50.00
24.6459,200.00,0.00,100.00,180712.55,800.02,62233.01,0.00,50.00,15458.36,7602.03,150.00,0.00,1100.04,0.00,50.00
24.9459,100.00,0.00,150.00,177068.26,1100.04,64040.84,50.00,50.00,15558.47,6351.41,50.00,0.00,1100.04,150.00,150.00
25.2460,150.00,0.00,100.00,174234.44,1300.06,65246.19,100.00,200.00,16209.19,7101.77,0.00,0.00,1000.04,0.00,50.00
25.5460,200.00,0.00,100.00,178485.38,1200.05,60827.08,200.00,200.00,15208.09,7902.19,100.00,0.00,1200.05,50.00,100.00
25.8460,100.00,0.00,50.00,182838.81,1300.06,63940.41,100.00,50.00,17460.67,9553.20,50.00,0.00,1150.05,0.00,150.00
26.1460,200.00,0.00,100.00,182940.05,1200.05,61630.45,100.00,100.00,15958.91,8052.27,0.00,0.00,1150.05,0.00,100.00
26.4460,200.00,0.00,100.00,181623.77,1100.04,64241.72,50.00,150.00,14657.52,7301.87,50.00,0.00,1250.06,0.00,200.00
26.7460,250.00,0.00,50.00,178586.60,1500.08,60726.65,50.00,150.00,16209.19,7401.92,50.00,50.00,950.03,0.00,250.00
27.0461,150.00,0.00,50.00,173323.69,1300.06,65547.54,100.00,0.00,15558.47,7151.79,50.00,50.00,950.03,50.00,150.00
27.3461,100.00,0.00,50.00,177776.79,1300.06,64743.95,0.00,100.00,15858.80,7251.84,50.00,0.00,1100.04,0.00,300.00
27.6461,250.00,50.00,0.00,181927.51,1500.08,66451.63,50.00,100.00,16609.65,7501.97,100.00,0.00,750.02,0.00,50.00
27.9461,100.00,0.00,50.00,180307.58,1900.12,62132.58,0.00,150.00,15408.31,7451.95,50.00,0.00,1100.04,0.00,150.00
28.2461,300.00,0.00,150.00,186383.24,1300.06,64442.61,50.00,0.00,15958.91,8702.66,0.00,50.00,950.03,0.00,100.00
28.5461,200.00,0.00,50.00,182737.54,1200.05,65045.29,0.00,100.00,15208.09,7902.19,0.00,0.00,1000.04,50.00,100.00
28.8461,100.00,0.00,0.00,175954.91,1800.11,66853.47,150.00,50.00,14857.73,6851.65,50.00,0.00,1200.05,0.00,50.00
29.1462,200.00,0.00,100.00,191346.89,1100.04,61128.34,150.00,50.00,14807.67,7552.00,200.00,0.00,800.02,0.00,100.00
29.4462,250.00,0.00,0.00,181117.52,1200.05,65547.54,200.00,150.00,16859.95,8202.36,50.00,50.00,1300.06,50.00,250.00
29.7462,150.00,0.00,50.00,173728.47,2500.21,65145.74,50.00,50.00,15508.42,7301.87,0.00,0.00,1000.04,50.00,100.00
30.0462,350.00,0.00,150.00,175145.25,700.02,62233.01,100.00,100.00,15308.20,7952.22,50.00,0.00,1150.05,0.00,100.00
30.3462,50.00,0.00,100.00,178485.38,1000.03,59923.33,100.00,50.00,15508.42,7101.77,0.00,0.00,1500.08,0.00,50.00
30.6462,300.00,0.00,100.00,182231.27,1700.10,60626.24,50.00,150.00,16960.07,7552.00,100.00,0.00,1050.04,0.00,100.00
30.9462,200.00,0.00,50.00,179902.62,1600.09,62634.73,50.00,100.00,14407.26,8002.24,0.00,0.00,1200.05,50.00,200.00
31.2463,200.00,0.00,100.00,184357.74,1400.07,62233.01,50.00,100.00,16259.25,8752.69,150.00,0.00,550.01,100.00,0.00
31.5463,350.00,0.00,0.00,179700.16,1800.11,60324.99,0.00,300.00,16359.37,8102.30,50.00,50.00,850.03,0.00,150.00
31.8463,400.01,0.00,100.00,185573.01,1500.08,62534.30,100.00,0.00,16960.07,6951.69,0.00,0.00,1000.04,0.00,100.00
32.1463,300.00,0.00,100.00,181421.26,1300.06,61429.60,50.00,50.00,15808.75,6701.57,50.00,0.00,1200.05,50.00,0.00
32.4463,250.00,0.00,0.00,177878.03,1400.07,62936.03,50.00,100.00,17010.13,7852.16,0.00,0.00,950.03,0.00,150.00
32.7463,200.00,0.00,100.00,172008.25,1600.09,63839.96,0.00,150.00,15308.20,7351.90,50.00,0.00,1300.06,50.00,50.00
33.0464,0.00,50.00,50.00,184459.01,1600.09,60224.57,50.00,50.00,15508.42,7001.72,150.00,50.00,1150.05,0.00,50.00
33.3464,250.00,0.00,50.00,179497.68,2000.14,64141.28,50.00,100.00,16008.97,6601.53,100.00,50.00,1100.04,0.00,0.00
33.6464,400.01,0.00,50.00,179396.45,1300.06,65647.99,150.00,150.00,16259.25,7151.79,0.00,0.00,1100.04,0.00,250.00
33.9464,50.00,0.00,50.00,175550.07,1800.11,62433.87,200.00,0.00,17660.91,8202.36,50.00,0.00,1150.05,0.00,200.00
34.2464,200.00,0.00,150.00,184357.74,1400.07,61831.30,0.00,50.00,16209.19,7852.16,0.00,0.00,1100.04,50.00,200.00
34.5464,100.00,0.00,100.00,184053.94,900.03,67456.25,50.00,100.00,17310.49,7852.16,50.00,0.00,1450.07,0.00,150.00
34.8465,250.00,0.00,0.00,177371.91,1500.08,62634.73,200.00,300.00,16659.71,7051.74,0.00,0.00,1150.05,0.00,50.00
35.1465,200.00,0.00,0.00,181117.52,1000.03,68460.93,0.00,100.00,15158.04,7401.92,0.00,0.00,1600.09,0.00,150.00
35.4465,150.00,0.00,50.00,180003.86,1300.06,59622.09,0.00,50.00,14657.52,7652.05,0.00,0.00,1250.06,0.00,50.00
35.7465,0.00,0.00,50.00,174942.85,1100.04,59521.69,100.00,0.00,16209.19,7752.11,50.00,0.00,1350.06,50.00,50.00
36.0465,200.00,0.00,0.00,182535.02,1500.08,60726.65,250.00,100.00,14657.52,7952.22,50.00,0.00,750.02,50.00,50.00
36.3465,0.00,0.00,0.00,182433.78,1900.12,53598.69,0.00,0.00,14607.47,6901.67,50.00,0.00,1050.04,0.00,150.00
36.6465,150.00,0.00,150.00,178384.14,1400.07,62132.58,50.00,0.00,16709.77,7602.03,0.00,0.00,1200.05,100.00,50.00
36.9465,300.00,0.00,150.00,178991.52,1400.07,61228.76,250.00,150.00,16409.42,7351.90,50.00,0.00,800.02,100.00,100.00
37.2466,100.00,0.00,0.00,183547.62,1200.05,62936.03,0.00,150.00,16209.19,8052.27,50.00,0.00,1100.04,200.00,100.00
37.5466,250.00,0.00,0.00,187699.96,1700.10,65045.29,100.00,100.00,15358.26,8352.45,50.00,50.00,1250.06,100.00,50.00
37.8466,300.00,50.00,0.00,174234.44,1500.08,62132.58,150.00,200.00,16960.07,6351.41,0.00,0.00,1450.07,50.00,100.00
38.1466,50.00,0.00,50.00,177068.26,1500.08,65346.64,50.00,0.00,16008.97,9403.10,0.00,0.00,850.03,0.00,50.00
38.4466,150.00,0.00,100.00,181725.01,2300.18,68360.46,50.00,100.00,16109.08,6951.69,0.00,0.00,1000.04,50.00,300.00
38.7466,150.00,0.00,0.00,185269.18,1700.10,63036.46,50.00,150.00,15208.09,7652.05,0.00,0.00,1350.06,100.00,150.00
39.0467,100.00,0.00,0.00,178586.60,1200.05,62835.60,100.00,200.00,16109.08,7451.95,0.00,0.00,1150.05,50.00,150.00
