D:\0 ICPMS Data\User Data\M Beeskow\21_08_24_Qtz.b\21_08_24_d02.d
Intensity Vs Time,CPS
Acquired      : 24/08/2021 15:07:28 using Batch 21_08_24_Qtz.b
Time [Sec],Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
0.3449,150.00,0.00,100.00,199961.28,3500.42,61630.45,100.00,50.00,17360.55,7802.13,250.00,50.00,1400.07,50.00,200.00
0.6449,250.00,0.00,100.00,196616.27,2500.21,65045.29,0.00,50.00,19513.32,6901.67,100.00,50.00,1500.08,100.00,250.00
0.9449,100.00,0.00,50.00,188206.42,3400.40,68561.40,250.00,100.00,18261.67,8252.39,100.00,0.00,1450.07,50.00,0.00
1.2449,350.00,0.00,100.00,175044.04,4000.55,68862.82,50.00,150.00,18161.54,9453.13,50.00,100.00,1650.10,100.00,200.00
1.5450,200.00,0.00,100.00,208580.74,2100.15,65145.74,50.00,150.00,17160.31,8102.30,0.00,100.00,900.03,0.00,150.00
1.8450,200.00,0.00,150.00,221062.55,3400.40,67456.25,200.00,50.00,17761.04,7802.13,0.00,100.00,1350.06,50.00,50.00
2.1450,200.00,0.00,0.00,197021.68,1000.03,67154.85,150.00,0.00,18762.32,7451.95,150.00,200.00,1100.04,50.00,350.00
2.4450,100.00,0.00,100.00,197021.68,1700.10,66652.55,0.00,100.00,16109.08,7852.16,150.00,0.00,1250.06,50.00,150.00
2.7450,100.00,0.00,200.00,188814.21,7101.73,69465.68,50.00,250.00,18862.45,7201.82,0.00,0.00,1500.08,50.00,300.00
3.0450,200.00,0.00,0.00,200265.41,3200.35,63036.46,100.00,150.00,17010.13,6351.41,250.00,100.00,850.03,0.00,150.00
3.3450,400.01,0.00,250.00,184357.74,2200.17,72279.36,0.00,250.00,17210.37,7802.13,50.00,100.00,1150.05,0.00,250.00
3.6451,250.00,0.00,150.00,187801.26,2500.21,65246.19,250.00,200.00,17460.67,8252.39,150.00,150.00,1000.04,100.00,150.00
3.9451,150.00,0.00,50.00,198846.19,1900.12,72279.36,150.00,50.00,18912.52,7702.08,100.00,150.00,1700.10,50.00,200.00
4.2451,150.00,0.00,100.00,187294.80,4000.55,67657.18,150.00,50.00,17460.67,8102.30,100.00,150.00,900.03,0.00,100.00
4.5451,0.00,0.00,50.00,207667.85,2500.21,70169.06,150.00,200.00,16109.08,7451.95,0.00,0.00,1100.04,50.00,0.00
4.8451,200.00,0.00,100.00,179902.62,2200.17,68059.05,50.00,150.00,18962.58,6801.62,200.00,0.00,1100.04,100.00,150.00
5.1451,500.01,0.00,50.00,200164.04,1600.09,66853.47,100.00,50.00,17961.29,7501.97,200.00,0.00,1600.09,50.00,200.00
5.4451,400.01,50.00,50.00,178687.83,2300.18,66049.80,50.00,150.00,17060.19,7201.82,50.00,50.00,1000.04,0.00,300.00
5.7452,150.00,50.00,0.00,198035.27,3500.42,69264.73,50.00,0.00,18562.06,8052.27,100.00,100.00,1650.10,150.00,100.00
6.0452,100.00,0.00,50.00,174032.04,1500.08,67858.11,50.00,50.00,17560.79,8102.30,150.00,50.00,2100.16,50.00,300.00
6.3452,250.00,0.00,50.00,202090.33,1900.12,67958.58,200.00,150.00,17010.13,7501.97,50.00,0.00,1600.09,50.00,0.00
6.6452,150.00,0.00,150.00,185573.01,2500.21,60726.65,50.00,100.00,16859.95,6851.65,250.00,50.00,1550.09,100.00,100.00
6.9452,450.01,50.00,100.00,181927.51,1700.10,67054.39,100.00,0.00,17410.61,7401.92,300.00,50.00,1200.05,50.00,300.00
7.2452,200.00,0.00,100.00,245956.32,1800.11,68862.82,0.00,0.00,18912.52,7051.74,0.00,0.00,1450.07,0.00,50.00
7.5453,250.00,50.00,50.00,187598.67,4000.55,64844.39,0.00,100.00,18011.35,7902.19,0.00,0.00,1150.05,0.00,150.00
7.8453,0.00,0.00,100.00,191954.80,2100.15,68259.99,100.00,100.00,17310.49,7652.05,600.01,0.00,950.03,0.00,350.00
8.1453,150.00,0.00,150.00,194082.68,4000.55,64543.05,150.00,150.00,16759.83,7001.72,50.00,250.00,950.03,50.00,200.00
8.4453,300.00,0.00,150.00,211522.66,7401.88,69365.20,100.00,150.00,16910.01,7151.79,150.00,0.00,1250.06,100.00,350.00
8.7453,350.00,0.00,50.00,182130.02,2700.25,66753.01,0.00,100.00,17460.67,7351.90,100.00,0.00,1700.10,100.00,150.00
9.0453,150.00,0.00,50.00,176967.04,2100.15,70570.99,50.00,150.00,17510.73,7652.05,50.00,0.00,750.02,150.00,250.00
9.3453,200.00,0.00,0.00,196616.27,2600.23,65246.19,200.00,250.00,18712.25,7552.00,100.00,0.00,1150.05,150.00,200.00
9.6454,300.00,0.00,50.00,178586.60,1700.10,68360.46,150.00,100.00,16309.31,6801.62,100.00,200.00,1550.09,150.00,250.00
9.9454,300.00,0.00,0.00,194994.73,1600.09,67858.11,0.00,200.00,18562.06,7401.92,150.00,100.00,1300.06,0.00,150.00
10.2454,200.00,0.00,50.00,201887.55,2100.15,66250.72,150.00,0.00,17110.24,7451.95,50.00,250.00,1250.06,0.00,250.00
10.5454,250.00,0.00,0.00,190232.46,2900.29,64442.61,150.00,50.00,17811.10,7602.03,100.00,50.00,1600.09,50.00,50.00
